attractions,etc,accomodation,restaurant,cafe,A10,A11,A12
0.037037037,0.192307692,0.052631579,0.136363636,0.163265306,0.886315789,0.875273523,0.892933619
0.055555556,0.173076923,0,0.340909091,0.387755102,0.875789474,0.888402626,0.852248394
0.074074074,0.038461538,0.01754386,0,0,0.917894737,0.894967177,0.877944325
0.092592593,0.076923077,0.043859649,0.045454545,0.346938776,0.896842105,0.884026258,0.854389722
0.037037037,0.192307692,0.030701754,0.068181818,0.06122449,0.877894737,0.903719912,0.869379015
0.148148148,0.307692308,0.144736842,0.545454545,0.387755102,0.869473684,0.899343545,0.871520343
0.12962963,0.096153846,0.061403509,0.068181818,0.214285714,0.867368421,0.866520788,0.824411135
0.018518519,0.115384615,0.00877193,0.181818182,0.326530612,0.865263158,0.901531729,0.86509636
0.055555556,0.076923077,0.01754386,0,0,0.911578947,0.899343545,0.87366167
0.055555556,0.134615385,0.035087719,0.181818182,0.265306122,0.877894737,0.875273523,0.850107066
0.148148148,0.076923077,0.271929825,0.386363636,0.112244898,0.886315789,0.901531729,0.856531049
0.185185185,0.153846154,0.052631579,0.477272727,0.214285714,0.875789474,0.899343545,0.867237687
0.037037037,0.192307692,0,0.068181818,0.163265306,0.842105263,0.888402626,0.856531049
0.203703704,0.173076923,0.342105263,0.545454545,0.204081633,0.884210526,0.884026258,0.862955032
0.166666667,0.211538462,0.210526316,0.25,0.142857143,0.888421053,0.875273523,0.856531049
0.074074074,0.038461538,0.052631579,0.090909091,0.112244898,0.886315789,0.881838074,0.862955032
0.037037037,0.038461538,0.144736842,0,0.020408163,0.854736842,0.903719912,0.867237687
0.055555556,0.057692308,0.00877193,0.045454545,0,0.905263158,0.897155361,0.867237687
0.148148148,0.153846154,0.131578947,0.045454545,0.010204082,0.869473684,0.901531729,0.871520343
0.037037037,0,0.01754386,0,0,0.863157895,0.892778993,0.860813704
0.037037037,0.096153846,0,0.068181818,0.153061224,0.856842105,0.888402626,0.854389722
0,0.057692308,0.01754386,0.022727273,0.030612245,0.869473684,0.831509847,0.856531049
0.074074074,0.019230769,0.01754386,0,0.010204082,0.842105263,0.899343545,0.858672377
0.037037037,0.096153846,0.118421053,0.022727273,0.020408163,0.888421053,0.884026258,0.843683084
0,0.076923077,0.030701754,0.022727273,0.010204082,0.854736842,0.899343545,0.862955032
0.074074074,0.096153846,0.021929825,0.022727273,0.051020408,0.894736842,0.888402626,0.845824411
0.055555556,0.153846154,0.043859649,0.022727273,0.030612245,0.882105263,0.868708972,0.843683084
0,0.038461538,0.021929825,0,0.010204082,0.842105263,0.868708972,0.843683084
0.055555556,0.173076923,0.004385965,0.113636364,0.071428571,0.882105263,0.89059081,0.845824411
0.092592593,0.096153846,0.00877193,0.022727273,0.040816327,0.877894737,0.901531729,0.854389722
0.074074074,0.134615385,0.035087719,0,0.010204082,0.903157895,0.901531729,0.871520343
0.018518519,0.038461538,0.061403509,0,0.071428571,0.882105263,0.910284464,0.858672377
0,0.057692308,0,0.295454545,0.326530612,0.850526316,0.866520788,0.792291221
0.148148148,0.384615385,0.131578947,0.340909091,0.612244898,0.884210526,0.956236324,0.888650964
0.092592593,0.057692308,0.013157895,0.068181818,0.030612245,0.934736842,0.925601751,0.869379015
0.074074074,0.25,0.004385965,0.090909091,0.255102041,0.886315789,0.934354486,0.91862955
0.074074074,0.076923077,0.004385965,0.045454545,0.071428571,0.865263158,0.888402626,0.856531049
0,0.269230769,0.026315789,0.068181818,0.091836735,0.926315789,0.934354486,0.91006424
0.055555556,0.288461538,0.074561404,0.136363636,0.255102041,0.886315789,0.929978118,0.869379015
0.037037037,0.115384615,0.01754386,0.068181818,0.081632653,0.837894737,0.984682713,0.903640257
0.12962963,0.115384615,0.061403509,0.022727273,0.010204082,0.861052632,0.875273523,0.867237687
0.111111111,0.307692308,0.087719298,0.090909091,0.357142857,0.875789474,0.938730853,0.888650964
0.055555556,0.057692308,0.013157895,0.045454545,0.224489796,0.884210526,0.943107221,0.899357602
0,0.038461538,0.004385965,0.022727273,0.071428571,0.869473684,0.964989059,0.895074946
0,0.038461538,0.01754386,0,0,0.88,0.897155361,0.854389722
0.018518519,0.057692308,0,0.022727273,0.010204082,0.905263158,0.910284464,0.854389722
0.092592593,0.057692308,0,0.159090909,0.132653061,0.854736842,0.905908096,0.858672377
0.055555556,0.134615385,0.004385965,0.25,0.295918367,0.884210526,0.90809628,0.850107066
0.074074074,0.057692308,0.00877193,0.068181818,0.234693878,0.884210526,0.884026258,0.835117773
0.037037037,0.211538462,0.013157895,0.045454545,0.102040816,0.823157895,0.93654267,0.890792291
0.018518519,0.038461538,0.078947368,0.068181818,0.040816327,0.886315789,0.914660832,0.847965739
0.166666667,0.153846154,0.350877193,0.409090909,0.275510204,0.886315789,0.919037199,0.87366167
0.037037037,0.076923077,0,0.113636364,0.173469388,0.894736842,0.903719912,0.852248394
0.018518519,0.173076923,0,0.227272727,0.367346939,0.842105263,0.923413567,0.882226981
0.018518519,0.019230769,0,0,0,0,0,0
0.018518519,0.115384615,0,0.045454545,0.193877551,0.842105263,0.95404814,0.895074946
0,0.153846154,0,0.113636364,0.387755102,0.789473684,0.940919037,0.890792291
0.018518519,0.230769231,0.004385965,0.227272727,0.346938776,0.842105263,0.945295405,0.892933619
0.018518519,0.192307692,0.00877193,0.25,0.306122449,0.861052632,0.927789934,0.880085653
0.092592593,0.076923077,0.171052632,0.022727273,0.040816327,0.896842105,0.899343545,0.880085653
0.166666667,0.134615385,0.092105263,0.431818182,0.255102041,0.869473684,0.820568928,0.794432548
0.037037037,0.076923077,0.00877193,0,0.020408163,0.852631579,0.879649891,0.835117773
0,0.057692308,0.048245614,0,0.051020408,0.901052632,0.934354486,0.87366167
0,0.019230769,0.021929825,0,0,0.924210526,0.962800875,0.858672377
0.074074074,0.038461538,0.021929825,0.022727273,0.010204082,0.917894737,0.919037199,0.87366167
0.055555556,0.307692308,0.061403509,0.136363636,0.275510204,0.886315789,0.971553611,0.903640257
0.055555556,0.115384615,0.096491228,0,0.010204082,0.892631579,0.932166302,0.884368308
0.055555556,0.134615385,0.030701754,0,0.051020408,0.932631579,0.879649891,0.854389722
1,1,1,1,0.846938776,0.917894737,0.892778993,0.880085653
0.111111111,0.057692308,0.140350877,0.068181818,0.040816327,0.886315789,0.866520788,0.82869379
0.074074074,0.269230769,0.013157895,0.022727273,0.102040816,0.884210526,0.89059081,0.858672377
0.055555556,0.192307692,0.004385965,0.045454545,0.091836735,0.871578947,0.840262582,0.798715203
0.055555556,0.096153846,0.004385965,0.090909091,0.193877551,0.911578947,0.86214442,0.847965739
0.018518519,0.019230769,0.004385965,0.022727273,0.030612245,0.88,0.892778993,0.880085653
0.092592593,0.076923077,0.01754386,0,0.010204082,0.949473684,0.89059081,0.871520343
0.055555556,0.057692308,0.030701754,0,0.010204082,0.894736842,0.897155361,0.850107066
0.166666667,0.269230769,0.021929825,0.045454545,0.071428571,0.882105263,0.857768053,0.87366167
0.037037037,0.038461538,0.00877193,0.022727273,0.030612245,0.867368421,0.875273523,0.869379015
0.055555556,0.153846154,0.01754386,0,0.020408163,0.888421053,0.919037199,0.899357602
0.222222222,0.5,0.039473684,0.363636364,0.5,0.911578947,0.90809628,0.880085653
0.092592593,0.346153846,0.048245614,0.318181818,0.56122449,0.882105263,0.875273523,0.884368308
0.055555556,0.019230769,0.052631579,0,0.030612245,0.901052632,0.884026258,0.826552463
0.018518519,0.057692308,0.100877193,0.068181818,0.081632653,0.869473684,0.877461707,0.839400428
0,0.038461538,0.013157895,0,0,0.892631579,0.827133479,0.713062099
0.055555556,0.019230769,0.026315789,0,0,0.873684211,0.820568928,0.766595289
0.092592593,0.192307692,0.048245614,0.340909091,0.479591837,0.858947368,0.835886214,0.856531049
0.148148148,0.115384615,0.245614035,0.363636364,0.316326531,0.890526316,0.807439825,0.884368308
0.074074074,0.076923077,0.105263158,0.136363636,0.102040816,0.905263158,0.851203501,0.845824411
0.148148148,0.076923077,0.030701754,0.272727273,0.12244898,0.842105263,0.879649891,0.852248394
0.055555556,0.019230769,0.00877193,0,0,0.896842105,0.932166302,0.897216274
0.12962963,0.115384615,0.793859649,0.318181818,0.071428571,0.896842105,0.903719912,0.875802998
0.203703704,0.192307692,0.25,0.022727273,0.051020408,0.898947368,0.914660832,0.884368308
0.074074074,0.134615385,0.144736842,0.522727273,0.765306122,0.867368421,0.923413567,0.86509636
0.111111111,0.096153846,0.280701754,0.25,0.030612245,0.909473684,0.875273523,0.862955032
0.074074074,0.346153846,0.021929825,0.204545455,0.43877551,0.848421053,0.888402626,0.87366167
0.111111111,0.096153846,0.346491228,0.295454545,0.173469388,0.898947368,0.910284464,0.877944325
0.074074074,0.288461538,0.201754386,0.340909091,0.316326531,0.869473684,0.90809628,0.860813704
0.074074074,0.288461538,0.004385965,0.318181818,0.285714286,0.873684211,0.901531729,0.86509636
0.074074074,0.153846154,0.074561404,0.045454545,0.020408163,0.915789474,0.914660832,0.895074946
0.055555556,0.076923077,0.013157895,0.022727273,0.030612245,0.896842105,0.894967177,0.856531049
0.037037037,0.096153846,0.021929825,0,0,0.890526316,0.866520788,0.832976445
0.018518519,0.096153846,0.004385965,0,0.040816327,0.856842105,0.864332604,0.845824411
0.074074074,0.057692308,0.057017544,0,0.020408163,0.888421053,0.925601751,0.875802998
0.055555556,0.076923077,0.048245614,0.045454545,0,0.903157895,0.927789934,0.875802998
0.055555556,0.076923077,0.021929825,0.068181818,0.051020408,0.861052632,0.927789934,0.869379015
0.092592593,0.096153846,0.302631579,0.136363636,0.081632653,0.896842105,0.90809628,0.87366167
0.240740741,0.480769231,0.105263158,0.204545455,0.673469388,0.882105263,0.879649891,0.852248394
0.074074074,0.076923077,0.01754386,0.045454545,0.081632653,0.928421053,0.910284464,0.850107066
0.055555556,0.038461538,0.048245614,0,0,0.842105263,0.925601751,0.880085653
0.037037037,0,0.135964912,0.045454545,0.040816327,0.858947368,0.927789934,0.884368308
