attractions,etc,accomodations,restaurant,cafe,A10,A11,A12,visitors
0.018518519,0.230769231,0,0.090909091,0.204081633,0.76,0.694267516,0.767790262,0.895095919
0.074074074,0.269230769,0,0.454545455,0.714285714,0.634285714,0.738853503,0.767790262,0.918236112
0.074074074,0.134615385,0,0.136363636,0.142857143,0.68,0.681528662,0.760299625,0.728779016
0.037037037,0.057692308,0.048245614,0,0.030612245,0.428571429,0.585987261,0.734082397,0.32420739
0.148148148,0.307692308,0.021929825,0.090909091,0.163265306,0.622857143,0.72611465,0.741573034,0.596849595
0.12962963,0.173076923,0.052631579,0.454545455,0.112244898,0.708571429,0.700636943,0.760299625,0.613217984
0.018518519,0.211538462,0,0.272727273,0.448979592,0.668571429,0.732484076,0.756554307,0.898922207
0.148148148,0.615384615,0,0.636363636,1,0.617142857,0.719745223,0.760299625,0.886450606
0.111111111,0.115384615,0.01754386,0,0.010204082,0.714285714,0.76433121,0.823970037,0.215253048
0.037037037,0.192307692,0.052631579,0.136363636,0.163265306,0.691428571,0.636942675,0.812734082,0.561608954
0.055555556,0.173076923,0,0.340909091,0.387755102,0.662857143,0.675159236,0.741573034,0.706840189
0.074074074,0.038461538,0.01754386,0,0,0.777142857,0.694267516,0.786516854,0.291637505
0.092592593,0.076923077,0.043859649,0.045454545,0.346938776,0.72,0.662420382,0.745318352,0.635557732
0.037037037,0.192307692,0.030701754,0.068181818,0.06122449,0.668571429,0.719745223,0.771535581,0.477537049
0.148148148,0.307692308,0.144736842,0.545454545,0.387755102,0.645714286,0.707006369,0.775280899,0.779903945
0.12962963,0.096153846,0.061403509,0.068181818,0.214285714,0.64,0.611464968,0.692883895,0.576402223
0.018518519,0.115384615,0.00877193,0.181818182,0.326530612,0.634285714,0.713375796,0.764044944,0.763434454
0.055555556,0.076923077,0.01754386,0,0,0.76,0.707006369,0.779026217,0.06404653
0.055555556,0.134615385,0.035087719,0.181818182,0.265306122,0.668571429,0.636942675,0.737827715,0.632212754
0.148148148,0.076923077,0.271929825,0.386363636,0.112244898,0.691428571,0.713375796,0.74906367,0.505222667
0.185185185,0.153846154,0.052631579,0.477272727,0.214285714,0.662857143,0.707006369,0.767790262,0.597684967
0.037037037,0.192307692,0,0.068181818,0.163265306,0.571428571,0.675159236,0.74906367,0.632595637
0.203703704,0.173076923,0.342105263,0.545454545,0.204081633,0.685714286,0.662420382,0.760299625,0.591892545
0.166666667,0.211538462,0.210526316,0.25,0.142857143,0.697142857,0.636942675,0.74906367,0.646306114
0.074074074,0.038461538,0.052631579,0.090909091,0.112244898,0.691428571,0.656050955,0.760299625,0.56664727
0.037037037,0.038461538,0.144736842,0,0.020408163,0.605714286,0.719745223,0.767790262,0.330599298
0.055555556,0.057692308,0.00877193,0.045454545,0,0.742857143,0.700636943,0.767790262,0.312587283
0.148148148,0.153846154,0.131578947,0.045454545,0.010204082,0.645714286,0.713375796,0.775280899,0.396494971
0.037037037,0,0.01754386,0,0,0.628571429,0.687898089,0.756554307,0.254159658
0.037037037,0.096153846,0,0.068181818,0.153061224,0.611428571,0.675159236,0.745318352,0.870485392
0,0.057692308,0.01754386,0.022727273,0.030612245,0.645714286,0.50955414,0.74906367,0.325979658
0.074074074,0.019230769,0.01754386,0,0.010204082,0.571428571,0.707006369,0.752808989,0
0.037037037,0.096153846,0.118421053,0.022727273,0.020408163,0.697142857,0.662420382,0.72659176,0.343482872
0,0.076923077,0.030701754,0.022727273,0.010204082,0.605714286,0.707006369,0.760299625,0.343979084
0.074074074,0.096153846,0.021929825,0.022727273,0.051020408,0.714285714,0.675159236,0.730337079,0.437956031
0.055555556,0.153846154,0.043859649,0.022727273,0.030612245,0.68,0.617834395,0.72659176,0.438517647
0,0.038461538,0.021929825,0,0.010204082,0.571428571,0.617834395,0.72659176,0.273861436
0.055555556,0.173076923,0.004385965,0.113636364,0.071428571,0.68,0.681528662,0.730337079,0.507023016
0.092592593,0.096153846,0.00877193,0.022727273,0.040816327,0.668571429,0.713375796,0.745318352,0.318468832
0.074074074,0.134615385,0.035087719,0,0.010204082,0.737142857,0.713375796,0.775280899,0.267849211
0.018518519,0.038461538,0.061403509,0,0.071428571,0.68,0.738853503,0.752808989,0.502212064
0,0.057692308,0,0.295454545,0.326530612,0.594285714,0.611464968,0.63670412,0.782329535
0.148148148,0.384615385,0.131578947,0.340909091,0.612244898,0.685714286,0.872611465,0.805243446,0.931466461
0.092592593,0.057692308,0.013157895,0.068181818,0.030612245,0.822857143,0.78343949,0.771535581,0.021704545
0.074074074,0.25,0.004385965,0.090909091,0.255102041,0.691428571,0.808917197,0.857677903,0.654359732
0.074074074,0.076923077,0.004385965,0.045454545,0.071428571,0.634285714,0.675159236,0.74906367,0.421247785
0,0.269230769,0.026315789,0.068181818,0.091836735,0.8,0.808917197,0.842696629,0.529245593
0.055555556,0.288461538,0.074561404,0.136363636,0.255102041,0.691428571,0.796178344,0.771535581,0.628043572
0.037037037,0.115384615,0.01754386,0.068181818,0.081632653,0.56,0.955414013,0.831460674,0.496367521
0.12962963,0.115384615,0.061403509,0.022727273,0.010204082,0.622857143,0.636942675,0.767790262,0.363348999
0.111111111,0.307692308,0.087719298,0.090909091,0.357142857,0.662857143,0.821656051,0.805243446,0.604007135
0.055555556,0.057692308,0.013157895,0.045454545,0.224489796,0.685714286,0.834394904,0.823970037,0.596377895
0,0.038461538,0.004385965,0.022727273,0.071428571,0.645714286,0.898089172,0.816479401,0.440799218
0,0.038461538,0.01754386,0,0,0.674285714,0.700636943,0.745318352,0.191258822
0.018518519,0.057692308,0,0.022727273,0.010204082,0.742857143,0.738853503,0.745318352,0.301138441
0.092592593,0.057692308,0,0.159090909,0.132653061,0.605714286,0.72611465,0.752808989,0.533075866
0.055555556,0.134615385,0.004385965,0.25,0.295918367,0.685714286,0.732484076,0.737827715,0.635689951
0.074074074,0.057692308,0.00877193,0.068181818,0.234693878,0.685714286,0.662420382,0.711610487,0.601657912
0.037037037,0.211538462,0.013157895,0.045454545,0.102040816,0.52,0.815286624,0.808988764,0.497018669
0.018518519,0.038461538,0.078947368,0.068181818,0.040816327,0.691428571,0.751592357,0.734082397,0.290533454
0.166666667,0.153846154,0.350877193,0.409090909,0.275510204,0.691428571,0.76433121,0.779026217,0.541235617
0.037037037,0.076923077,0,0.113636364,0.173469388,0.714285714,0.719745223,0.741573034,0.545303179
0.018518519,0.173076923,0,0.227272727,0.367346939,0.571428571,0.777070064,0.794007491,0.724574497
0.018518519,0.115384615,0,0.045454545,0.193877551,0.571428571,0.866242038,0.816479401,0.647260566
0,0.153846154,0,0.113636364,0.387755102,0.428571429,0.828025478,0.808988764,0.687510629
0.018518519,0.230769231,0.004385965,0.227272727,0.346938776,0.571428571,0.840764331,0.812734082,0.682915079
0.018518519,0.192307692,0.00877193,0.25,0.306122449,0.622857143,0.789808917,0.790262172,0.692623594
0.092592593,0.076923077,0.171052632,0.022727273,0.040816327,0.72,0.707006369,0.790262172,0.303165144
0.166666667,0.134615385,0.092105263,0.431818182,0.255102041,0.645714286,0.477707006,0.640449438,0.732523412
0.037037037,0.076923077,0.00877193,0,0.020408163,0.6,0.649681529,0.711610487,0.24456382
0,0.057692308,0.048245614,0,0.051020408,0.731428571,0.808917197,0.779026217,0.351728373
0,0.019230769,0.021929825,0,0,0.794285714,0.891719745,0.752808989,0.106740337
0.074074074,0.038461538,0.021929825,0.022727273,0.010204082,0.777142857,0.76433121,0.779026217,0.215507746
0.055555556,0.307692308,0.061403509,0.136363636,0.275510204,0.691428571,0.917197452,0.831460674,0.778691486
0.055555556,0.115384615,0.096491228,0,0.010204082,0.708571429,0.802547771,0.797752809,0.411520912
0.055555556,0.134615385,0.030701754,0,0.051020408,0.817142857,0.649681529,0.745318352,0.386875673
1,1,1,1,0.846938776,0.777142857,0.687898089,0.790262172,0.836292016
0.111111111,0.057692308,0.140350877,0.068181818,0.040816327,0.691428571,0.611464968,0.700374532,0.503376003
0.074074074,0.269230769,0.013157895,0.022727273,0.102040816,0.685714286,0.681528662,0.752808989,0.880486198
0.055555556,0.192307692,0.004385965,0.045454545,0.091836735,0.651428571,0.535031847,0.647940075,0.86228025
0.055555556,0.096153846,0.004385965,0.090909091,0.193877551,0.76,0.598726115,0.734082397,0.587374895
0.018518519,0.019230769,0.004385965,0.022727273,0.030612245,0.674285714,0.687898089,0.790262172,0.167331199
0.092592593,0.076923077,0.01754386,0,0.010204082,0.862857143,0.681528662,0.775280899,0.242412918
0.055555556,0.057692308,0.030701754,0,0.010204082,0.714285714,0.700636943,0.737827715,0.225024347
0.166666667,0.269230769,0.021929825,0.045454545,0.071428571,0.68,0.585987261,0.779026217,0.558953774
0.037037037,0.038461538,0.00877193,0.022727273,0.030612245,0.64,0.636942675,0.771535581,0.402313312
0.055555556,0.153846154,0.01754386,0,0.020408163,0.697142857,0.76433121,0.823970037,0.390748929
0.222222222,0.5,0.039473684,0.363636364,0.5,0.76,0.732484076,0.790262172,0.909941772
0.092592593,0.346153846,0.048245614,0.318181818,0.56122449,0.68,0.636942675,0.797752809,0.803065954
0.055555556,0.019230769,0.052631579,0,0.030612245,0.731428571,0.662420382,0.696629213,0.282890886
0.018518519,0.057692308,0.100877193,0.068181818,0.081632653,0.645714286,0.643312102,0.719101124,0.437419464
0,0.038461538,0.013157895,0,0,0.708571429,0.496815287,0.498127341,0.220734643
0.055555556,0.019230769,0.026315789,0,0,0.657142857,0.477707006,0.5917603,0.214406894
0.092592593,0.192307692,0.048245614,0.340909091,0.479591837,0.617142857,0.522292994,0.74906367,0.882524887
0.148148148,0.115384615,0.245614035,0.363636364,0.316326531,0.702857143,0.439490446,0.797752809,0.625130537
0.074074074,0.076923077,0.105263158,0.136363636,0.102040816,0.742857143,0.566878981,0.730337079,0.549052598
0.148148148,0.076923077,0.030701754,0.272727273,0.12244898,0.571428571,0.649681529,0.741573034,0.495388641
0.055555556,0.019230769,0.00877193,0,0,0.72,0.802547771,0.820224719,0.180423021
0.12962963,0.115384615,0.793859649,0.318181818,0.071428571,0.72,0.719745223,0.782771536,0.576604203
0.203703704,0.192307692,0.25,0.022727273,0.051020408,0.725714286,0.751592357,0.797752809,0.514792515
0.074074074,0.134615385,0.144736842,0.522727273,0.765306122,0.64,0.777070064,0.764044944,0.737014743
0.111111111,0.096153846,0.280701754,0.25,0.030612245,0.754285714,0.636942675,0.760299625,0.52590887
0.074074074,0.346153846,0.021929825,0.204545455,0.43877551,0.588571429,0.675159236,0.779026217,0.666226249
0.111111111,0.096153846,0.346491228,0.295454545,0.173469388,0.725714286,0.738853503,0.786516854,0.63508162
0.074074074,0.288461538,0.201754386,0.340909091,0.316326531,0.645714286,0.732484076,0.756554307,0.753106467
0.074074074,0.288461538,0.004385965,0.318181818,0.285714286,0.657142857,0.713375796,0.764044944,0.683359975
0.074074074,0.153846154,0.074561404,0.045454545,0.020408163,0.771428571,0.751592357,0.816479401,0.337723457
0.055555556,0.076923077,0.013157895,0.022727273,0.030612245,0.72,0.694267516,0.74906367,0.353745965
0.037037037,0.096153846,0.021929825,0,0,0.702857143,0.611464968,0.707865169,0.26092966
0.018518519,0.096153846,0.004385965,0,0.040816327,0.611428571,0.605095541,0.730337079,0.255126072
0.074074074,0.057692308,0.057017544,0,0.020408163,0.697142857,0.78343949,0.782771536,0.347535225
0.055555556,0.076923077,0.048245614,0.045454545,0,0.737142857,0.789808917,0.782771536,0.336426269
0.055555556,0.076923077,0.021929825,0.068181818,0.051020408,0.622857143,0.789808917,0.771535581,0.380123553
0.092592593,0.096153846,0.302631579,0.136363636,0.081632653,0.72,0.732484076,0.779026217,0.554243241
0.240740741,0.480769231,0.105263158,0.204545455,0.673469388,0.68,0.649681529,0.741573034,0.839853682
0.074074074,0.076923077,0.01754386,0.045454545,0.081632653,0.805714286,0.738853503,0.737827715,0.406519534
0.055555556,0.038461538,0.048245614,0,0,0.571428571,0.78343949,0.790262172,0.131516755
0.037037037,0,0.135964912,0.045454545,0.040816327,0.617142857,0.789808917,0.797752809,0.412611883
