attractions,etc,accomodation,restaurant,cafe,A10,A11,A12,visitors
0.018518519,0.038461538,0,0.022727273,0.010204082,0.928421053,0.875273523,0.869379015,0.490926572
0.055555556,0.153846154,0,0.159090909,0.112244898,0.957894737,0.86214442,0.832976445,0.629010183
0.037037037,0.038461538,0.004385965,0.227272727,0.316326531,0.941052632,0.86214442,0.843683084,0.784134147
0.055555556,0.038461538,0.004385965,0.068181818,0.081632653,0.911578947,0.875273523,0.837259101,0.505360473
0,0.076923077,0.00877193,0.045454545,0.030612245,0.947368421,0.866520788,0.839400428,0.551733424
0.074074074,0.153846154,0.004385965,0.113636364,0.020408163,0.909473684,0.892778993,0.867237687,0.520205215
0.148148148,0.211538462,0.013157895,0.045454545,0.030612245,0.913684211,0.881838074,0.847965739,0.474507463
0.055555556,0.019230769,0.00877193,0.159090909,0.255102041,0.888421053,0.897155361,0.850107066,0.637997946
0.018518519,0.038461538,0,0.045454545,0.071428571,0.842105263,0.868708972,0.830835118,0.569440696
0.148148148,0.192307692,0.004385965,0.045454545,0.040816327,0.926315789,0.866520788,0.839400428,0.397891232
0.018518519,0.038461538,0.00877193,0.022727273,0.030612245,0.894736842,0.875273523,0.852248394,0.573528755
0.185185185,0.211538462,0.078947368,0.477272727,0.214285714,0.892631579,0.901531729,0.860813704,0.789041551
0.12962963,0.096153846,0.070175439,0,0.020408163,0.911578947,0.899343545,0.845824411,0.416239955
0.055555556,0.192307692,0.01754386,0,0.020408163,0.903157895,0.903719912,0.858672377,0.365446545
0.018518519,0.192307692,0,0.363636364,0.469387755,0.873684211,0.912472648,0.867237687,0.753921698
0.12962963,0.153846154,0.074561404,0.045454545,0.010204082,0.907368421,0.875273523,0.843683084,0.475971527
0,0.057692308,0.087719298,0,0,0.909473684,0.886214442,0.852248394,0.368461346
0.222222222,0.25,0.135964912,0,0.040816327,0.922105263,0.884026258,0.860813704,0.423962527
0.037037037,0.153846154,0.030701754,0,0.030612245,0.886315789,0.881838074,0.850107066,0.406328469
0.833333333,0.807692308,0.833333333,0.636363636,0.469387755,0.92,0.86214442,0.847965739,0.776604758
0.018518519,0.096153846,0,0.068181818,0.112244898,0.8,0.903719912,0.86509636,0.703840522
0.074074074,0.019230769,0.039473684,0,0.102040816,0.884210526,0.881838074,0.850107066,0.470209179
0.074074074,0.057692308,0.039473684,0,0.010204082,0.884210526,0.875273523,0.832976445,0.344918632
0.018518519,0.230769231,0,0.090909091,0.204081633,0.911578947,0.894967177,0.867237687,0.895095919
0.074074074,0.269230769,0,0.454545455,0.714285714,0.865263158,0.910284464,0.867237687,0.918236112
0.074074074,0.134615385,0,0.136363636,0.142857143,0.882105263,0.89059081,0.862955032,0.728779016
0.018518519,0.192307692,0,0.090909091,0.255102041,0,0,0,0.651246045
0.037037037,0.057692308,0.048245614,0,0.030612245,0.789473684,0.857768053,0.847965739,0.32420739
0.148148148,0.307692308,0.021929825,0.090909091,0.163265306,0.861052632,0.905908096,0.852248394,0.596849595
0.12962963,0.173076923,0.052631579,0.454545455,0.112244898,0.892631579,0.897155361,0.862955032,0.613217984
0.018518519,0.211538462,0,0.272727273,0.448979592,0.877894737,0.90809628,0.860813704,0.898922207
0.148148148,0.615384615,0,0.636363636,1,0.858947368,0.903719912,0.862955032,0.886450606
0.111111111,0.115384615,0.01754386,0,0.010204082,0.894736842,0.919037199,0.899357602,0.215253048
0.037037037,0.192307692,0.052631579,0.136363636,0.163265306,0.886315789,0.875273523,0.892933619,0.561608954
0.055555556,0.173076923,0,0.340909091,0.387755102,0.875789474,0.888402626,0.852248394,0.706840189
0.074074074,0.038461538,0.01754386,0,0,0.917894737,0.894967177,0.877944325,0.291637505
0.092592593,0.076923077,0.043859649,0.045454545,0.346938776,0.896842105,0.884026258,0.854389722,0.635557732
0.037037037,0.192307692,0.030701754,0.068181818,0.06122449,0.877894737,0.903719912,0.869379015,0.477537049
0.148148148,0.307692308,0.144736842,0.545454545,0.387755102,0.869473684,0.899343545,0.871520343,0.779903945
0.12962963,0.096153846,0.061403509,0.068181818,0.214285714,0.867368421,0.866520788,0.824411135,0.576402223
0.018518519,0.115384615,0.00877193,0.181818182,0.326530612,0.865263158,0.901531729,0.86509636,0.763434454
0.055555556,0.076923077,0.01754386,0,0,0.911578947,0.899343545,0.87366167,0.06404653
0.055555556,0.134615385,0.035087719,0.181818182,0.265306122,0.877894737,0.875273523,0.850107066,0.632212754
0.148148148,0.076923077,0.271929825,0.386363636,0.112244898,0.886315789,0.901531729,0.856531049,0.505222667
0.185185185,0.153846154,0.052631579,0.477272727,0.214285714,0.875789474,0.899343545,0.867237687,0.597684967
0.037037037,0.192307692,0,0.068181818,0.163265306,0.842105263,0.888402626,0.856531049,0.632595637
0.203703704,0.173076923,0.342105263,0.545454545,0.204081633,0.884210526,0.884026258,0.862955032,0.591892545
0.166666667,0.211538462,0.210526316,0.25,0.142857143,0.888421053,0.875273523,0.856531049,0.646306114
0.074074074,0.038461538,0.052631579,0.090909091,0.112244898,0.886315789,0.881838074,0.862955032,0.56664727
0.037037037,0.038461538,0.144736842,0,0.020408163,0.854736842,0.903719912,0.867237687,0.330599298
0.055555556,0.057692308,0.00877193,0.045454545,0,0.905263158,0.897155361,0.867237687,0.312587283
0.148148148,0.153846154,0.131578947,0.045454545,0.010204082,0.869473684,0.901531729,0.871520343,0.396494971
0.037037037,0,0.01754386,0,0,0.863157895,0.892778993,0.860813704,0.254159658
0.037037037,0.096153846,0,0.068181818,0.153061224,0.856842105,0.888402626,0.854389722,0.870485392
0,0.057692308,0.01754386,0.022727273,0.030612245,0.869473684,0.831509847,0.856531049,0.325979658
0.074074074,0.019230769,0.01754386,0,0.010204082,0.842105263,0.899343545,0.858672377,0
0.037037037,0.096153846,0.118421053,0.022727273,0.020408163,0.888421053,0.884026258,0.843683084,0.343482872
0,0.076923077,0.030701754,0.022727273,0.010204082,0.854736842,0.899343545,0.862955032,0.343979084
0.074074074,0.096153846,0.021929825,0.022727273,0.051020408,0.894736842,0.888402626,0.845824411,0.437956031
0.055555556,0.153846154,0.043859649,0.022727273,0.030612245,0.882105263,0.868708972,0.843683084,0.438517647
0,0.038461538,0.021929825,0,0.010204082,0.842105263,0.868708972,0.843683084,0.273861436
0.055555556,0.173076923,0.004385965,0.113636364,0.071428571,0.882105263,0.89059081,0.845824411,0.507023016
0.092592593,0.096153846,0.00877193,0.022727273,0.040816327,0.877894737,0.901531729,0.854389722,0.318468832
0.074074074,0.134615385,0.035087719,0,0.010204082,0.903157895,0.901531729,0.871520343,0.267849211
0.018518519,0.038461538,0.061403509,0,0.071428571,0.882105263,0.910284464,0.858672377,0.502212064
0,0.057692308,0,0.295454545,0.326530612,0.850526316,0.866520788,0.792291221,0.782329535
0.148148148,0.384615385,0.131578947,0.340909091,0.612244898,0.884210526,0.956236324,0.888650964,0.931466461
0.092592593,0.057692308,0.013157895,0.068181818,0.030612245,0.934736842,0.925601751,0.869379015,0.021704545
0.074074074,0.25,0.004385965,0.090909091,0.255102041,0.886315789,0.934354486,0.91862955,0.654359732
0.074074074,0.076923077,0.004385965,0.045454545,0.071428571,0.865263158,0.888402626,0.856531049,0.421247785
0,0.269230769,0.026315789,0.068181818,0.091836735,0.926315789,0.934354486,0.91006424,0.529245593
0.055555556,0.288461538,0.074561404,0.136363636,0.255102041,0.886315789,0.929978118,0.869379015,0.628043572
0.037037037,0.115384615,0.01754386,0.068181818,0.081632653,0.837894737,0.984682713,0.903640257,0.496367521
0.12962963,0.115384615,0.061403509,0.022727273,0.010204082,0.861052632,0.875273523,0.867237687,0.363348999
0.111111111,0.307692308,0.087719298,0.090909091,0.357142857,0.875789474,0.938730853,0.888650964,0.604007135
0.055555556,0.057692308,0.013157895,0.045454545,0.224489796,0.884210526,0.943107221,0.899357602,0.596377895
0,0.038461538,0.004385965,0.022727273,0.071428571,0.869473684,0.964989059,0.895074946,0.440799218
0,0.038461538,0.01754386,0,0,0.88,0.897155361,0.854389722,0.191258822
0.018518519,0.057692308,0,0.022727273,0.010204082,0.905263158,0.910284464,0.854389722,0.301138441
0.092592593,0.057692308,0,0.159090909,0.132653061,0.854736842,0.905908096,0.858672377,0.533075866
0.055555556,0.134615385,0.004385965,0.25,0.295918367,0.884210526,0.90809628,0.850107066,0.635689951
0.074074074,0.057692308,0.00877193,0.068181818,0.234693878,0.884210526,0.884026258,0.835117773,0.601657912
0.037037037,0.211538462,0.013157895,0.045454545,0.102040816,0.823157895,0.93654267,0.890792291,0.497018669
0.018518519,0.038461538,0.078947368,0.068181818,0.040816327,0.886315789,0.914660832,0.847965739,0.290533454
0.166666667,0.153846154,0.350877193,0.409090909,0.275510204,0.886315789,0.919037199,0.87366167,0.541235617
0.037037037,0.076923077,0,0.113636364,0.173469388,0.894736842,0.903719912,0.852248394,0.545303179
0.018518519,0.173076923,0,0.227272727,0.367346939,0.842105263,0.923413567,0.882226981,0.724574497
0.018518519,0.019230769,0,0,0,0,0,0,0.254429947
0.018518519,0.115384615,0,0.045454545,0.193877551,0.842105263,0.95404814,0.895074946,0.647260566
0,0.153846154,0,0.113636364,0.387755102,0.789473684,0.940919037,0.890792291,0.687510629
0.018518519,0.230769231,0.004385965,0.227272727,0.346938776,0.842105263,0.945295405,0.892933619,0.682915079
0.018518519,0.192307692,0.00877193,0.25,0.306122449,0.861052632,0.927789934,0.880085653,0.692623594
0.092592593,0.076923077,0.171052632,0.022727273,0.040816327,0.896842105,0.899343545,0.880085653,0.303165144
0.166666667,0.134615385,0.092105263,0.431818182,0.255102041,0.869473684,0.820568928,0.794432548,0.732523412
0.037037037,0.076923077,0.00877193,0,0.020408163,0.852631579,0.879649891,0.835117773,0.24456382
0,0.057692308,0.048245614,0,0.051020408,0.901052632,0.934354486,0.87366167,0.351728373
0,0.019230769,0.021929825,0,0,0.924210526,0.962800875,0.858672377,0.106740337
0.074074074,0.038461538,0.021929825,0.022727273,0.010204082,0.917894737,0.919037199,0.87366167,0.215507746
0.055555556,0.307692308,0.061403509,0.136363636,0.275510204,0.886315789,0.971553611,0.903640257,0.778691486
0.055555556,0.115384615,0.096491228,0,0.010204082,0.892631579,0.932166302,0.884368308,0.411520912
0.055555556,0.134615385,0.030701754,0,0.051020408,0.932631579,0.879649891,0.854389722,0.386875673
1,1,1,1,0.846938776,0.917894737,0.892778993,0.880085653,0.836292016
0.111111111,0.057692308,0.140350877,0.068181818,0.040816327,0.886315789,0.866520788,0.82869379,0.503376003
0.074074074,0.269230769,0.013157895,0.022727273,0.102040816,0.884210526,0.89059081,0.858672377,0.880486198
0.055555556,0.192307692,0.004385965,0.045454545,0.091836735,0.871578947,0.840262582,0.798715203,0.86228025
0.055555556,0.096153846,0.004385965,0.090909091,0.193877551,0.911578947,0.86214442,0.847965739,0.587374895
0.018518519,0.019230769,0.004385965,0.022727273,0.030612245,0.88,0.892778993,0.880085653,0.167331199
0.092592593,0.076923077,0.01754386,0,0.010204082,0.949473684,0.89059081,0.871520343,0.242412918
0.055555556,0.057692308,0.030701754,0,0.010204082,0.894736842,0.897155361,0.850107066,0.225024347
0.166666667,0.269230769,0.021929825,0.045454545,0.071428571,0.882105263,0.857768053,0.87366167,0.558953774
0.037037037,0.038461538,0.00877193,0.022727273,0.030612245,0.867368421,0.875273523,0.869379015,0.402313312
0.055555556,0.153846154,0.01754386,0,0.020408163,0.888421053,0.919037199,0.899357602,0.390748929
0.222222222,0.5,0.039473684,0.363636364,0.5,0.911578947,0.90809628,0.880085653,0.909941772
0.092592593,0.346153846,0.048245614,0.318181818,0.56122449,0.882105263,0.875273523,0.884368308,0.803065954
0.055555556,0.019230769,0.052631579,0,0.030612245,0.901052632,0.884026258,0.826552463,0.282890886
0.018518519,0.057692308,0.100877193,0.068181818,0.081632653,0.869473684,0.877461707,0.839400428,0.437419464
0,0.038461538,0.013157895,0,0,0.892631579,0.827133479,0.713062099,0.220734643
0.055555556,0.019230769,0.026315789,0,0,0.873684211,0.820568928,0.766595289,0.214406894
0.092592593,0.192307692,0.048245614,0.340909091,0.479591837,0.858947368,0.835886214,0.856531049,0.882524887
0.148148148,0.115384615,0.245614035,0.363636364,0.316326531,0.890526316,0.807439825,0.884368308,0.625130537
0.074074074,0.076923077,0.105263158,0.136363636,0.102040816,0.905263158,0.851203501,0.845824411,0.549052598
0.148148148,0.076923077,0.030701754,0.272727273,0.12244898,0.842105263,0.879649891,0.852248394,0.495388641
0.055555556,0.019230769,0.00877193,0,0,0.896842105,0.932166302,0.897216274,0.180423021
0.12962963,0.115384615,0.793859649,0.318181818,0.071428571,0.896842105,0.903719912,0.875802998,0.576604203
0.203703704,0.192307692,0.25,0.022727273,0.051020408,0.898947368,0.914660832,0.884368308,0.514792515
0.074074074,0.134615385,0.144736842,0.522727273,0.765306122,0.867368421,0.923413567,0.86509636,0.737014743
0.111111111,0.096153846,0.280701754,0.25,0.030612245,0.909473684,0.875273523,0.862955032,0.52590887
0.074074074,0.346153846,0.021929825,0.204545455,0.43877551,0.848421053,0.888402626,0.87366167,0.666226249
0.111111111,0.096153846,0.346491228,0.295454545,0.173469388,0.898947368,0.910284464,0.877944325,0.63508162
0.074074074,0.288461538,0.201754386,0.340909091,0.316326531,0.869473684,0.90809628,0.860813704,0.753106467
0.074074074,0.288461538,0.004385965,0.318181818,0.285714286,0.873684211,0.901531729,0.86509636,0.683359975
0.074074074,0.153846154,0.074561404,0.045454545,0.020408163,0.915789474,0.914660832,0.895074946,0.337723457
0.055555556,0.076923077,0.013157895,0.022727273,0.030612245,0.896842105,0.894967177,0.856531049,0.353745965
0.037037037,0.096153846,0.021929825,0,0,0.890526316,0.866520788,0.832976445,0.26092966
0.018518519,0.096153846,0.004385965,0,0.040816327,0.856842105,0.864332604,0.845824411,0.255126072
0.074074074,0.057692308,0.057017544,0,0.020408163,0.888421053,0.925601751,0.875802998,0.347535225
0.055555556,0.076923077,0.048245614,0.045454545,0,0.903157895,0.927789934,0.875802998,0.336426269
0.055555556,0.076923077,0.021929825,0.068181818,0.051020408,0.861052632,0.927789934,0.869379015,0.380123553
0.092592593,0.096153846,0.302631579,0.136363636,0.081632653,0.896842105,0.90809628,0.87366167,0.554243241
0.240740741,0.480769231,0.105263158,0.204545455,0.673469388,0.882105263,0.879649891,0.852248394,0.839853682
0.074074074,0.076923077,0.01754386,0.045454545,0.081632653,0.928421053,0.910284464,0.850107066,0.406519534
0.055555556,0.038461538,0.048245614,0,0,0.842105263,0.925601751,0.880085653,0.131516755
0.037037037,0,0.135964912,0.045454545,0.040816327,0.858947368,0.927789934,0.884368308,0.412611883
