시군구,방문자 수,관광명소,기타,숙박,음식점,카페
대전광역시 동구,14857098.0,3.0,7.0,2.0,3.0,8.0
대전광역시 유성구,27183723.0,3.0,10.0,3.0,8.0,28.0
대전광역시 대덕구,10362892.0,4.0,12.0,0.0,0.0,12.0
대전광역시 서구,28766993.0,1.0,10.0,4.0,9.0,45.0
대전광역시 중구,20237493.0,2.0,4.0,0.0,4.0,12.0
부산광역시 강서구,19199657.0,3.0,7.0,2.0,4.0,15.0
부산광역시 영도구,7672511.0,8.0,10.0,1.0,2.0,4.0
부산광역시 부산진구,40672637.0,2.0,2.0,1.0,10.0,31.0
부산광역시 동래구,20815215.0,3.0,8.0,0.0,7.0,11.0
부산광역시 해운대구,41543754.0,10.0,11.0,18.0,21.0,21.0
부산광역시 사하구,13011480.0,4.0,8.0,1.0,5.0,2.0
부산광역시 금정구,16861277.0,5.0,3.0,0.0,7.0,7.0
부산광역시 남구,15420524.0,4.0,5.0,2.0,1.0,8.0
부산광역시 연제구,16093983.0,1.0,2.0,0.0,2.0,7.0
부산광역시 수영구,21638974.0,3.0,1.0,2.0,7.0,25.0
부산광역시 사상구,14909226.0,0.0,4.0,2.0,2.0,3.0
부산광역시 기장군,29542362.0,11.0,10.0,13.0,20.0,29.0
부산광역시 동구,11466138.0,1.0,2.0,0.0,1.0,1.0
부산광역시 북구,12203564.0,3.0,2.0,1.0,3.0,8.0
부산광역시 서구,10681311.0,8.0,11.0,3.0,2.0,3.0
부산광역시 중구,16380620.0,1.0,2.0,2.0,1.0,3.0
종로구,61659809.0,4.0,14.0,3.0,1.0,10.0
강서구,44365489.0,4.0,12.0,2.0,9.0,39.0
용산구,40356913.0,0.0,3.0,0.0,13.0,32.0
성동구,32024962.0,4.0,7.0,0.0,6.0,14.0
광진구,29971654.0,0.0,4.0,2.0,0.0,26.0
동대문구,24994344.0,3.0,2.0,0.0,2.0,14.0
중랑구,17389919.0,3.0,5.0,1.0,4.0,19.0
성북구,22913019.0,1.0,10.0,0.0,4.0,25.0
강북구,18328235.0,1.0,5.0,1.0,6.0,19.0
도봉구,13459863.0,2.0,2.0,0.0,2.0,11.0
노원구,26938602.0,8.0,10.0,1.0,4.0,14.0
은평구,18079312.0,3.0,3.0,3.0,2.0,22.0
서대문구,28755350.0,1.0,5.0,0.0,3.0,11.0
마포구,56951532.0,2.0,12.0,3.0,31.0,64.0
양천구,21140006.0,2.0,10.0,0.0,3.0,16.0
구로구,29155037.0,0.0,6.0,1.0,0.0,7.0
금천구,17785107.0,0.0,2.0,0.0,0.0,9.0
영등포구,59053622.0,2.0,5.0,0.0,3.0,15.0
동작구,24300103.0,0.0,6.0,0.0,0.0,10.0
관악구,28692265.0,0.0,6.0,0.0,1.0,16.0
서초구,65675204.0,1.0,12.0,0.0,4.0,20.0
강남구,103309405.0,2.0,11.0,3.0,10.0,36.0
송파구,66769373.0,1.0,11.0,0.0,12.0,44.0
강동구,23706460.0,2.0,6.0,1.0,2.0,18.0
중구,56997855.0,3.0,10.0,1.0,2.0,9.0
세종시,18116176.0,8.0,16.0,5.0,4.0,16.0
울산광역시 남구,23223184.0,4.0,13.0,1.0,4.0,25.0
울산광역시 동구,8486736.0,4.0,4.0,1.0,2.0,7.0
울산광역시 북구,13529481.0,0.0,14.0,6.0,3.0,9.0
울산광역시 울주군,20728511.0,3.0,15.0,17.0,6.0,25.0
울산광역시 중구,11738732.0,2.0,6.0,4.0,3.0,8.0
인천광역시 동구,4129414.0,1.0,1.0,0.0,0.0,0.0
인천광역시 미추홀구,22522049.0,1.0,6.0,0.0,2.0,19.0
인천광역시 연수구,27395693.0,1.0,10.0,2.0,11.0,30.0
인천광역시 남동구,31448752.0,1.0,9.0,0.0,10.0,36.0
인천광역시 부평구,26797444.0,0.0,8.0,0.0,5.0,38.0
인천광역시 계양구,14500926.0,2.0,4.0,0.0,5.0,17.0
인천광역시 강화군,14248442.0,9.0,8.0,80.0,18.0,27.0
인천광역시 옹진군,5096676.0,5.0,4.0,39.0,1.0,4.0
인천광역시 서구,26270892.0,1.0,12.0,1.0,10.0,34.0
인천광역시 중구,32546996.0,9.0,7.0,21.0,19.0,25.0
목포시,13256884.0,5.0,12.0,6.0,8.0,18.0
여수시,22429413.0,9.0,11.0,48.0,11.0,14.0
순천시,15558789.0,2.0,10.0,12.0,6.0,16.0
나주시,9956429.0,3.0,8.0,5.0,2.0,9.0
광양시,8651194.0,5.0,2.0,3.0,2.0,11.0
담양군,9883438.0,4.0,5.0,15.0,5.0,20.0
곡성군,4220504.0,1.0,3.0,8.0,0.0,2.0
구례군,4503554.0,1.0,3.0,22.0,1.0,2.0
고흥군,6250555.0,2.0,3.0,8.0,0.0,0.0
보성군,5010542.0,3.0,5.0,6.0,1.0,1.0
화순군,7963778.0,4.0,4.0,4.0,2.0,8.0
장흥군,3490545.0,4.0,2.0,5.0,1.0,1.0
강진군,3731667.0,3.0,5.0,1.0,0.0,0.0
해남군,5883901.0,3.0,4.0,11.0,2.0,0.0
영암군,5624367.0,0.0,3.0,4.0,1.0,3.0
무안군,7880451.0,5.0,2.0,2.0,3.0,9.0
함평군,4141846.0,1.0,5.0,1.0,0.0,4.0
영광군,5308324.0,3.0,3.0,2.0,2.0,0.0
장성군,6285837.0,0.0,3.0,11.0,0.0,5.0
완도군,4375776.0,4.0,7.0,8.0,0.0,1.0
진도군,3920591.0,5.0,4.0,4.0,0.0,1.0
신안군,4849176.0,4.0,2.0,4.0,0.0,0.0
전주시,39727853.0,3.0,16.0,14.0,6.0,27.0
군산시,14377306.0,6.0,8.0,5.0,6.0,18.0
익산시,11771786.0,2.0,11.0,3.0,2.0,10.0
정읍시,7316086.0,3.0,7.0,7.0,0.0,5.0
남원시,7035338.0,0.0,4.0,4.0,0.0,1.0
김제시,6914139.0,3.0,4.0,0.0,0.0,7.0
완주군,12038770.0,1.0,2.0,14.0,0.0,7.0
진안군,3636979.0,3.0,3.0,7.0,0.0,1.0
무주군,5532536.0,2.0,1.0,20.0,1.0,1.0
장수군,2182275.0,0.0,1.0,5.0,0.0,0.0
임실군,3957176.0,2.0,4.0,2.0,0.0,2.0
순창군,3486708.0,6.0,6.0,4.0,0.0,1.0
고창군,6568793.0,3.0,9.0,8.0,2.0,2.0
부안군,8305178.0,7.0,5.0,16.0,0.0,2.0
제주시,50947145.0,54.0,52.0,228.0,44.0,83.0
서귀포시,39371469.0,45.0,42.0,190.0,28.0,46.0
공주시,14007894.0,5.0,6.0,18.0,6.0,17.0
보령시,14796644.0,6.0,5.0,30.0,6.0,7.0
아산시,21412149.0,5.0,4.0,10.0,2.0,34.0
서산시,10484881.0,4.0,1.0,9.0,0.0,10.0
논산시,9594511.0,3.0,6.0,10.0,1.0,3.0
계룡시,2654049.0,1.0,3.0,1.0,0.0,1.0
당진시,12349021.0,5.0,9.0,7.0,2.0,14.0
금산군,6269644.0,3.0,3.0,10.0,1.0,2.0
부여군,6669455.0,3.0,10.0,4.0,0.0,2.0
서천군,6103684.0,4.0,3.0,9.0,0.0,1.0
청양군,3473991.0,3.0,1.0,6.0,0.0,0.0
홍성군,7105846.0,3.0,4.0,5.0,3.0,5.0
예산군,9143844.0,3.0,8.0,10.0,1.0,3.0
태안군,16599617.0,7.0,6.0,181.0,14.0,7.0
천안시,44137454.0,5.0,18.0,11.0,14.0,55.0
충주시,14737623.0,4.0,4.0,24.0,6.0,10.0
제천시,12099432.0,6.0,3.0,32.0,3.0,4.0
보은군,4729375.0,4.0,7.0,11.0,0.0,1.0
옥천군,5444873.0,5.0,5.0,2.0,1.0,4.0
영동군,4124597.0,2.0,0.0,4.0,0.0,0.0
증평군,2834930.0,1.0,1.0,1.0,1.0,3.0
진천군,7820432.0,2.0,2.0,2.0,1.0,3.0
괴산군,6793475.0,3.0,2.0,19.0,0.0,4.0
음성군,9234379.0,0.0,2.0,1.0,1.0,7.0
단양군,6669433.0,0.0,4.0,25.0,1.0,0.0
청주시,62205038.0,5.0,10.0,11.0,15.0,47.0
