시군,기초지자체,카테고리중분류명 ,중분류 검색건수
전라남도,순천시,자연관광,41070
전라남도,신안군,자연관광,77128
전라남도,여수시,자연관광,285036
전라남도,영광군,자연관광,44858
전라남도,영암군,자연관광,49083
전라남도,완도군,자연관광,97255
전라남도,장성군,자연관광,40442
전라남도,장흥군,자연관광,36270
전라남도,진도군,자연관광,83099
전라남도,함평군,자연관광,43144
전라남도,해남군,자연관광,36255
전라남도,화순군,자연관광,35596
전라북도,고창군,자연관광,100689
전라북도,군산시,자연관광,275727
전라북도,김제시,자연관광,39800
전라북도,남원시,자연관광,40386
전라북도,무주군,자연관광,40869
전라북도,부안군,자연관광,267466
전라북도,순창군,자연관광,54552
전라북도,완주군,자연관광,45022
전라북도,익산시,자연관광,5296
전라북도,임실군,자연관광,21562
전라북도,장수군,자연관광,14598
전라북도,전주시 덕진구,자연관광,96206
전라북도,전주시 완산구,자연관광,85
전라북도,정읍시,자연관광,19347
전라북도,진안군,자연관광,76836
제주도,서귀포시,자연관광,980453
제주도,제주시,자연관광,1533116
충청남도,계룡시,자연관광,3918
충청남도,공주시,자연관광,55389
충청남도,금산군,자연관광,14759
충청남도,논산시,자연관광,72696
충청남도,당진시,자연관광,312953
충청남도,보령시,자연관광,405562
충청남도,부여군,자연관광,8857
충청남도,서산시,자연관광,261346
충청남도,서천군,자연관광,208444
충청남도,아산시,자연관광,93336
충청남도,예산군,자연관광,45808
충청남도,천안시 동남구,자연관광,30358
충청남도,천안시 서북구,자연관광,15629
충청남도,청양군,자연관광,22611
충청남도,태안군,자연관광,1301124
충청남도,홍성군,자연관광,132826
충청북도,괴산군,자연관광,102818
충청북도,단양군,자연관광,100437
충청북도,보은군,자연관광,84777
충청북도,영동군,자연관광,39279
충청북도,옥천군,자연관광,27670
충청북도,음성군,자연관광,29371
충청북도,제천시,자연관광,138700
충청북도,증평군,자연관광,24653
충청북도,진천군,자연관광,42227
충청북도,청주시 상당구,자연관광,31822
충청북도,청주시 서원구,자연관광,172
충청북도,청주시 청원구,자연관광,15091
충청북도,청주시 흥덕구,자연관광,1853
충청북도,충주시,자연관광,126447
