시군,기초지자체,카테고리중분류명 ,중분류 검색건수
전라남도,장흥군,음식,41378
전라남도,진도군,음식,77204
전라남도,함평군,음식,77418
전라남도,해남군,음식,96053
전라남도,화순군,음식,218796
전라북도,고창군,음식,145540
전라북도,군산시,음식,1153923
전라북도,김제시,음식,213305
전라북도,남원시,음식,222184
전라북도,무주군,음식,116468
전라북도,부안군,음식,190788
전라북도,순창군,음식,62341
전라북도,완주군,음식,344369
전라북도,익산시,음식,510103
전라북도,임실군,음식,83485
전라북도,장수군,음식,12475
전라북도,전주시 덕진구,음식,779043
전라북도,전주시 완산구,음식,1391818
전라북도,정읍시,음식,173235
전라북도,진안군,음식,26270
제주도,서귀포시,음식,2893517
제주도,제주시,음식,4854051
충청남도,계룡시,음식,100497
충청남도,공주시,음식,658163
충청남도,금산군,음식,127042
충청남도,논산시,음식,284740
충청남도,당진시,음식,622943
충청남도,보령시,음식,492526
충청남도,부여군,음식,201357
충청남도,서산시,음식,475746
충청남도,서천군,음식,92629
충청남도,아산시,음식,1285846
충청남도,예산군,음식,342770
충청남도,천안시 동남구,음식,1222828
충청남도,천안시 서북구,음식,1818019
충청남도,청양군,음식,45827
충청남도,태안군,음식,625473
충청남도,홍성군,음식,247711
충청북도,괴산군,음식,88575
충청북도,단양군,음식,283443
충청북도,보은군,음식,79364
충청북도,영동군,음식,48149
충청북도,옥천군,음식,140548
충청북도,음성군,음식,291047
충청북도,제천시,음식,607552
충청북도,증평군,음식,133102
충청북도,진천군,음식,281058
충청북도,청주시 상당구,음식,637275
충청북도,청주시 서원구,음식,643094
충청북도,청주시 청원구,음식,738091
충청북도,청주시 흥덕구,음식,839476
충청북도,충주시,음식,728109
