시군,기초지자체,카테고리중분류명 ,중분류 검색건수
인천광역시,옹진군,역사관광,2267
인천광역시,중구,역사관광,9523
전라남도,강진군,역사관광,61095
전라남도,고흥군,역사관광,5816
전라남도,곡성군,역사관광,11323
전라남도,광양시,역사관광,5141
전라남도,구례군,역사관광,205769
전라남도,나주시,역사관광,20407
전라남도,담양군,역사관광,76972
전라남도,목포시,역사관광,2171
전라남도,무안군,역사관광,5535
전라남도,보성군,역사관광,13303
전라남도,순천시,역사관광,138275
전라남도,신안군,역사관광,3172
전라남도,여수시,역사관광,141609
전라남도,영광군,역사관광,50307
전라남도,영암군,역사관광,40166
전라남도,완도군,역사관광,8515
전라남도,장성군,역사관광,65361
전라남도,장흥군,역사관광,7357
전라남도,진도군,역사관광,29803
전라남도,함평군,역사관광,7546
전라남도,해남군,역사관광,85196
전라남도,화순군,역사관광,44275
전라북도,고창군,역사관광,120435
전라북도,군산시,역사관광,37514
전라북도,김제시,역사관광,53453
전라북도,남원시,역사관광,29246
전라북도,무주군,역사관광,17449
전라북도,부안군,역사관광,56806
전라북도,순창군,역사관광,32956
전라북도,완주군,역사관광,32508
전라북도,익산시,역사관광,47238
전라북도,임실군,역사관광,4532
전라북도,장수군,역사관광,5094
전라북도,전주시 덕진구,역사관광,1062
전라북도,전주시 완산구,역사관광,407571
전라북도,정읍시,역사관광,18778
전라북도,진안군,역사관광,25688
제주도,서귀포시,역사관광,91780
제주도,제주시,역사관광,70766
충청남도,계룡시,역사관광,3527
충청남도,공주시,역사관광,406463
충청남도,금산군,역사관광,18533
충청남도,논산시,역사관광,54165
충청남도,당진시,역사관광,34708
충청남도,보령시,역사관광,12732
충청남도,부여군,역사관광,135445
충청남도,서산시,역사관광,280434
충청남도,서천군,역사관광,19674
충청남도,아산시,역사관광,135994
충청남도,예산군,역사관광,130862
충청남도,천안시 동남구,역사관광,73383
충청남도,천안시 서북구,역사관광,4523
충청남도,청양군,역사관광,15043
충청남도,태안군,역사관광,30774
충청남도,홍성군,역사관광,18990
충청북도,괴산군,역사관광,14709
충청북도,단양군,역사관광,57708
충청북도,보은군,역사관광,74352
충청북도,영동군,역사관광,18256
충청북도,옥천군,역사관광,21191
충청북도,음성군,역사관광,16189
충청북도,제천시,역사관광,54100
충청북도,증평군,역사관광,1806
충청북도,진천군,역사관광,77310
충청북도,청주시 상당구,역사관광,61355
충청북도,청주시 서원구,역사관광,8823
충청북도,청주시 청원구,역사관광,24111
충청북도,청주시 흥덕구,역사관광,2488
충청북도,충주시,역사관광,26161
