시군구,기타관광_검색건수,문화관광_검색건수,숙박_검색건수,역사관광_검색건수,음식_검색건수,자연관광_검색건수,체험관광_검색건수
순천시,304300,79061,168198,138275,712815,41070,4195
시흥시,16560,936971,217538,22096,2216948,85507,6746
신안군,111514,44996,56091,3172,26793,77128,229
아산시,264969,189846,225668,135994,1285846,93336,142349
안동시,81129,85925,133537,202637,328298,11361,7220
안산시,156007,894297,686317,20805,2811029,101201,16946
안성시,41807,274627,151578,86059,1083743,101783,10413
안양시,7411,347840,142298,70835,1448988,2788,167
양구군,10157,38723,30471,1923,39182,22797,261
양산시,28545,221540,245420,262135,1089942,71473,4656
양양군,84871,108899,991136,305931,836897,760987,34481
양주시,17568,376105,180044,35169,1328685,99848,43107
양천구,3,205406,6403,9568,590667,26,190
양평군,294138,199467,526467,105034,1270287,112157,9906
여수시,413540,567768,926737,141609,1530787,285036,7758
여주시,40083,163723,219183,122575,1599692,40171,13432
연천군,51660,97188,181454,93674,233233,93639,9636
영광군,83589,67493,39090,50307,132502,44858,751
영덕군,25256,101736,123991,6657,129656,311975,1245
영동군,25691,18365,23287,18256,48149,39279,341
영등포구,45604,740130,544929,1057,1353673,2384,65
영암군,15575,29560,67485,40166,82238,49083,744
영양군,3521,2692,4529,4684,4250,9760,97
영월군,37039,134075,260579,187760,143857,42826,510
영주시,35038,48413,78972,109773,171409,14282,3226
영천시,65603,60603,68514,80205,209449,24454,2910
예산군,162339,42720,194824,130862,342770,45808,41178
예천군,34901,36315,19884,35790,96863,6255,13074
오산시,9512,162097,148797,28505,1451304,61886,866
옥천군,26640,51914,29468,21191,140548,27670,155
완도군,184322,25042,40581,8515,39460,97255,22
완주군,49670,70620,146500,32508,344369,45022,6433
용산구,397275,1097314,555837,10437,1246304,46349,59
용인시,329440,1962837,947488,375061,6259286,104099,47200
울릉군,26543,32621,19952,926,25887,38806,0
울산광역시 남구,63156,294670,240730,15073,811023,0,83
울산광역시 동구,44843,119510,69916,2776,209758,0,33
울산광역시 북구,80415,56071,63913,9319,499956,0,1139
울산광역시 울주군,285515,149074,164678,66568,774891,0,21070
울산광역시 중구,706,184022,51526,20393,308728,0,575
울진군,77597,89510,170349,28385,131598,298672,77101
원주시,270514,303518,451513,68339,1427187,58534,6613
은평구,32027,100073,58739,111597,496103,4797,188
음성군,28413,43962,69524,16189,291047,29371,725
의령군,13964,15305,17048,26740,44447,6806,245
의성군,5890,17075,12209,20089,36019,16306,3301
의왕시,18086,176610,52333,49423,1315449,35584,61
의정부시,17260,188528,115340,12743,1460181,2636,774
이천시,115215,246674,241084,32618,1349444,12346,117522
익산시,231443,163018,96853,47238,510103,5296,10790
인제군,58855,59608,189255,109422,250072,189820,6485
인천광역시 강화군,200156,131339,494769,335198,1073333,0,42544
인천광역시 계양구,8701,200612,63853,5643,668056,0,2206
인천광역시 남동구,6,364270,202520,14695,1297721,0,1920
인천광역시 동구,12,24085,7281,197,56879,0,16
인천광역시 미추홀구,82318,243220,95081,34594,642554,0,43
인천광역시 부평구,427,142292,85143,8715,682541,0,141
인천광역시 서구,44652,417215,110502,8951,1573677,0,232
인천광역시 연수구,40068,808338,593482,23054,2134378,0,851
인천광역시 옹진군,59933,5584,207999,2267,194147,0,12185
인천광역시 중구,3136372,282960,885818,9523,1872319,0,33957
임실군,34265,37599,11214,4532,83485,21562,76
장성군,26229,68532,46227,65361,157888,40442,1276
장수군,1720,7760,11657,5094,12475,14598,773
장흥군,6888,36458,18083,7357,41378,36270,177
전주시,134606,584390,574946,408633,2170861,96291,886
정선군,69412,443762,585777,17615,162473,102360,527
정읍시,62863,79157,55698,18778,173235,19347,1339
제주시,1454723,841560,1882727,70766,4854051,1533116,18510
제천시,246276,65874,453206,54100,607552,138700,8945
종로구,199960,867608,415361,501790,1053984,5684,356
중구,23582,487279,1561240,43742,1121251,0,289
중랑구,8826,100184,34347,6651,341585,0,189
증평군,14442,21273,26536,1806,133102,24653,212
진도군,34030,47686,182730,29803,77204,83099,1676
진안군,12981,29037,31173,25688,26270,76836,3564
진주시,94366,131261,245084,51204,842627,60925,1226
