시군,기초지자체,카테고리중분류명 ,중분류 검색건수
전라남도,무안군,숙박,60440
전라남도,보성군,숙박,43231
전라남도,순천시,숙박,168198
전라남도,신안군,숙박,56091
전라남도,여수시,숙박,926737
전라남도,영광군,숙박,39090
전라남도,영암군,숙박,67485
전라남도,완도군,숙박,40581
전라남도,장성군,숙박,46227
전라남도,장흥군,숙박,18083
전라남도,진도군,숙박,182730
전라남도,함평군,숙박,15225
전라남도,해남군,숙박,53397
전라남도,화순군,숙박,50249
전라북도,고창군,숙박,58480
전라북도,군산시,숙박,322380
전라북도,김제시,숙박,19269
전라북도,남원시,숙박,167950
전라북도,무주군,숙박,160259
전라북도,부안군,숙박,243204
전라북도,순창군,숙박,17418
전라북도,완주군,숙박,146500
전라북도,익산시,숙박,96853
전라북도,임실군,숙박,11214
전라북도,장수군,숙박,11657
전라북도,전주시 덕진구,숙박,187747
전라북도,전주시 완산구,숙박,387199
전라북도,정읍시,숙박,55698
전라북도,진안군,숙박,31173
제주도,서귀포시,숙박,2081259
제주도,제주시,숙박,1882727
충청남도,계룡시,숙박,22826
충청남도,공주시,숙박,188091
충청남도,금산군,숙박,50973
충청남도,논산시,숙박,83061
충청남도,당진시,숙박,130344
충청남도,보령시,숙박,435096
충청남도,부여군,숙박,119637
충청남도,서산시,숙박,145809
충청남도,서천군,숙박,75900
충청남도,아산시,숙박,225668
충청남도,예산군,숙박,194824
충청남도,천안시 동남구,숙박,239010
충청남도,천안시 서북구,숙박,310216
충청남도,청양군,숙박,22331
충청남도,태안군,숙박,1172010
충청남도,홍성군,숙박,46979
충청북도,괴산군,숙박,129561
충청북도,단양군,숙박,252028
충청북도,보은군,숙박,58116
충청북도,영동군,숙박,23287
충청북도,옥천군,숙박,29468
충청북도,음성군,숙박,69524
충청북도,제천시,숙박,453206
충청북도,증평군,숙박,26536
충청북도,진천군,숙박,97726
충청북도,청주시 상당구,숙박,126377
충청북도,청주시 서원구,숙박,16316
충청북도,청주시 청원구,숙박,163747
충청북도,청주시 흥덕구,숙박,206817
충청북도,충주시,숙박,303960
