시군,기초지자체,카테고리중분류명 ,중분류 검색건수
전라남도,고흥군,기타관광,65290
전라남도,곡성군,기타관광,68720
전라남도,광양시,기타관광,19326
전라남도,구례군,기타관광,26825
전라남도,나주시,기타관광,36243
전라남도,담양군,기타관광,83080
전라남도,목포시,기타관광,347766
전라남도,무안군,기타관광,42794
전라남도,보성군,기타관광,62040
전라남도,순천시,기타관광,304300
전라남도,신안군,기타관광,111514
전라남도,여수시,기타관광,413540
전라남도,영광군,기타관광,83589
전라남도,영암군,기타관광,15575
전라남도,완도군,기타관광,184322
전라남도,장성군,기타관광,26229
전라남도,장흥군,기타관광,6888
전라남도,진도군,기타관광,34030
전라남도,함평군,기타관광,7896
전라남도,해남군,기타관광,66628
전라남도,화순군,기타관광,20464
전라북도,고창군,기타관광,12755
전라북도,군산시,기타관광,226871
전라북도,김제시,기타관광,27306
전라북도,남원시,기타관광,123035
전라북도,무주군,기타관광,51677
전라북도,부안군,기타관광,134555
전라북도,순창군,기타관광,58003
전라북도,완주군,기타관광,49670
전라북도,익산시,기타관광,231443
전라북도,임실군,기타관광,34265
전라북도,장수군,기타관광,1720
전라북도,전주시 덕진구,기타관광,124047
전라북도,전주시 완산구,기타관광,10559
전라북도,정읍시,기타관광,62863
전라북도,진안군,기타관광,12981
제주도,서귀포시,기타관광,832980
제주도,제주시,기타관광,1454723
충청남도,계룡시,기타관광,9617
충청남도,공주시,기타관광,60415
충청남도,금산군,기타관광,52105
충청남도,논산시,기타관광,103159
충청남도,당진시,기타관광,81900
충청남도,보령시,기타관광,78602
충청남도,부여군,기타관광,24142
충청남도,서산시,기타관광,74929
충청남도,서천군,기타관광,93994
충청남도,아산시,기타관광,264969
충청남도,예산군,기타관광,162339
충청남도,천안시 동남구,기타관광,94829
충청남도,천안시 서북구,기타관광,13338
충청남도,청양군,기타관광,38828
충청남도,태안군,기타관광,116810
충청남도,홍성군,기타관광,32593
충청북도,괴산군,기타관광,70630
충청북도,단양군,기타관광,206771
충청북도,보은군,기타관광,22270
충청북도,영동군,기타관광,25691
충청북도,옥천군,기타관광,26640
충청북도,음성군,기타관광,28413
충청북도,제천시,기타관광,246276
충청북도,증평군,기타관광,14442
충청북도,진천군,기타관광,23186
충청북도,청주시 상당구,기타관광,100880
충청북도,청주시 서원구,기타관광,3933
충청북도,청주시 청원구,기타관광,354545
충청북도,청주시 흥덕구,기타관광,273071
충청북도,충주시,기타관광,98974
