시군,기초지자체,카테고리중분류명 ,중분류 검색건수
전라남도,목포시,체험관광,497
전라남도,무안군,체험관광,68
전라남도,보성군,체험관광,14994
전라남도,순천시,체험관광,4195
전라남도,신안군,체험관광,229
전라남도,여수시,체험관광,7758
전라남도,영광군,체험관광,751
전라남도,영암군,체험관광,744
전라남도,완도군,체험관광,22
전라남도,장성군,체험관광,1276
전라남도,장흥군,체험관광,177
전라남도,진도군,체험관광,1676
전라남도,함평군,체험관광,64
전라남도,해남군,체험관광,1513
전라남도,화순군,체험관광,9258
전라북도,고창군,체험관광,47280
전라북도,군산시,체험관광,811
전라북도,김제시,체험관광,1923
전라북도,남원시,체험관광,347
전라북도,무주군,체험관광,890
전라북도,부안군,체험관광,2158
전라북도,순창군,체험관광,3796
전라북도,완주군,체험관광,6433
전라북도,익산시,체험관광,10790
전라북도,임실군,체험관광,76
전라북도,장수군,체험관광,773
전라북도,전주시 덕진구,체험관광,39
전라북도,전주시 완산구,체험관광,847
전라북도,정읍시,체험관광,1339
전라북도,진안군,체험관광,3564
제주도,서귀포시,체험관광,90615
제주도,제주시,체험관광,18510
충청남도,계룡시,체험관광,120
충청남도,공주시,체험관광,9048
충청남도,금산군,체험관광,22988
충청남도,논산시,체험관광,8411
충청남도,당진시,체험관광,700
충청남도,보령시,체험관광,3680
충청남도,부여군,체험관광,2750
충청남도,서산시,체험관광,4732
충청남도,서천군,체험관광,9216
충청남도,아산시,체험관광,142349
충청남도,예산군,체험관광,41178
충청남도,천안시 동남구,체험관광,22628
충청남도,천안시 서북구,체험관광,979
충청남도,청양군,체험관광,315
충청남도,태안군,체험관광,35490
충청남도,홍성군,체험관광,226
충청북도,괴산군,체험관광,5007
충청북도,단양군,체험관광,1476
충청북도,보은군,체험관광,104
충청북도,영동군,체험관광,341
충청북도,옥천군,체험관광,155
충청북도,음성군,체험관광,725
충청북도,제천시,체험관광,8945
충청북도,증평군,체험관광,212
충청북도,진천군,체험관광,131
충청북도,청주시 상당구,체험관광,5275
충청북도,청주시 서원구,체험관광,17089
충청북도,청주시 청원구,체험관광,4973
충청북도,청주시 흥덕구,체험관광,1209
충청북도,충주시,체험관광,54364
