시군,기초지자체,카테고리중분류명 ,중분류 검색건수
인천광역시,연수구,문화관광,808338
인천광역시,옹진군,문화관광,5584
인천광역시,중구,문화관광,282960
전라남도,강진군,문화관광,34367
전라남도,고흥군,문화관광,58506
전라남도,곡성군,문화관광,43510
전라남도,광양시,문화관광,61571
전라남도,구례군,문화관광,48897
전라남도,나주시,문화관광,85637
전라남도,담양군,문화관광,107815
전라남도,목포시,문화관광,221182
전라남도,무안군,문화관광,42652
전라남도,보성군,문화관광,30808
전라남도,순천시,문화관광,79061
전라남도,신안군,문화관광,44996
전라남도,여수시,문화관광,567768
전라남도,영광군,문화관광,67493
전라남도,영암군,문화관광,29560
전라남도,완도군,문화관광,25042
전라남도,장성군,문화관광,68532
전라남도,장흥군,문화관광,36458
전라남도,진도군,문화관광,47686
전라남도,함평군,문화관광,67636
전라남도,해남군,문화관광,88038
전라남도,화순군,문화관광,58215
전라북도,고창군,문화관광,51665
전라북도,군산시,문화관광,177773
전라북도,김제시,문화관광,39403
전라북도,남원시,문화관광,51061
전라북도,무주군,문화관광,97137
전라북도,부안군,문화관광,46670
전라북도,순창군,문화관광,24094
전라북도,완주군,문화관광,70620
전라북도,익산시,문화관광,163018
전라북도,임실군,문화관광,37599
전라북도,장수군,문화관광,7760
전라북도,전주시 덕진구,문화관광,401062
전라북도,전주시 완산구,문화관광,183328
전라북도,정읍시,문화관광,79157
전라북도,진안군,문화관광,29037
제주도,서귀포시,문화관광,937748
제주도,제주시,문화관광,841560
충청남도,계룡시,문화관광,34197
충청남도,공주시,문화관광,146501
충청남도,금산군,문화관광,22775
충청남도,논산시,문화관광,78071
충청남도,당진시,문화관광,419388
충청남도,보령시,문화관광,163487
충청남도,부여군,문화관광,119306
충청남도,서산시,문화관광,68871
충청남도,서천군,문화관광,70141
충청남도,아산시,문화관광,189846
충청남도,예산군,문화관광,42720
충청남도,천안시 동남구,문화관광,368603
충청남도,천안시 서북구,문화관광,173025
충청남도,청양군,문화관광,27706
충청남도,태안군,문화관광,234324
충청남도,홍성군,문화관광,74130
충청북도,괴산군,문화관광,28639
충청북도,단양군,문화관광,200477
충청북도,보은군,문화관광,53018
충청북도,영동군,문화관광,18365
충청북도,옥천군,문화관광,51914
충청북도,음성군,문화관광,43962
충청북도,제천시,문화관광,65874
충청북도,증평군,문화관광,21273
충청북도,진천군,문화관광,43352
충청북도,청주시 상당구,문화관광,267419
충청북도,청주시 서원구,문화관광,50972
충청북도,청주시 청원구,문화관광,176991
충청북도,청주시 흥덕구,문화관광,104498
충청북도,충주시,문화관광,168823
