name,category,cat_code,addr,road_addr,x,y,do,si,gu
송정맨션,숙박,AD5,부산 해운대구 송정동 836,부산 해운대구 송정구덕포길 150-3,35.1690334068883,129.197158706992,부산,해운대구,송정동
송정어울림체육공원,기타,,부산 해운대구 송정동 142-4,부산 해운대구 송정1로8번길 25-15,35.183107304005524,129.19864728523723,부산,해운대구,송정동
기장해안산책로,관광명소,AT4,부산 기장군 기장읍 연화리 297-1,,35.21515936276433,129.22483896125718,부산,기장군,기장읍
아난티코브,숙박,AD5,부산 기장군 기장읍 시랑리 704,부산 기장군 기장읍 기장해안로 268-31,35.2002410464161,129.22901421995851,부산,기장군,기장읍
죽성드림세트장,기타,,부산 기장군 기장읍 죽성리,,35.2410327685462,129.248598553242,부산,기장군,기장읍
오랑대공원,기타,,부산 기장군 기장읍 시랑리,,35.2059095736345,129.227814368768,부산,기장군,기장읍
용소웰빙공원,기타,,부산 기장군 기장읍 서부리 223-6,,35.246226751022,129.204144763819,부산,기장군,기장읍
더클럽호텔 연화리점,숙박,AD5,부산 기장군 기장읍 대변리 279,부산 기장군 기장읍 연화길 78,35.2204418316239,129.22708715570283,부산,기장군,기장읍
오랑대,기타,,부산 기장군 기장읍 연화리,,35.2059320697688,129.228746011147,부산,기장군,기장읍
호시카게,숙박,AD5,부산 기장군 기장읍 대변리 433-2,부산 기장군 기장읍 대변로 133,35.2271638077857,129.227058956386,부산,기장군,기장읍
베스트루이스해밀턴호텔 기장점,숙박,AD5,부산 기장군 기장읍 서부리 422,부산 기장군 기장읍 반송로 1545,35.24946598647369,129.20954483620687,부산,기장군,기장읍
카라반지오클럽,숙박,AD5,부산 기장군 일광읍 삼성리 151-1,부산 기장군 일광읍 기장해안로 1272,35.25780882823805,129.23532506652387,부산,기장군,일광읍
갈맷길1코스2구간 시작인증대,관광명소,AT4,부산 기장군 기장읍 청강리 3-3,부산 기장군 기장읍 기장대로 560,35.2445587967612,129.221041871776,부산,기장군,기장읍
GB골든베이,숙박,AD5,부산 기장군 기장읍 대변리 288,부산 기장군 기장읍 기장해안로 536,35.2212784592842,129.227066097826,부산,기장군,기장읍
드림하우스펜션,숙박,AD5,부산 기장군 기장읍 죽성리 141,부산 기장군 기장읍 두호1길 2-1,35.24024201650372,129.247896825668,부산,기장군,기장읍
갈맷길 1코스2구간,관광명소,AT4,부산 기장군 기장읍 시랑리 2-2,,35.20752250696758,129.22497747183752,부산,기장군,기장읍
서랑펜션,숙박,AD5,부산 기장군 기장읍 내리 204-1,부산 기장군 기장읍 소정길 11,35.20100126412204,129.20591545780803,부산,기장군,기장읍
기장철마체육공원 꽃잔디산책로,기타,,부산 기장군 철마면 연구리 566,,35.2728102831803,129.156336484575,부산,기장군,철마면
아홉산숲,관광명소,AT4,부산 기장군 철마면 웅천리 26,부산 기장군 철마면 미동길 37-1,35.2870431653779,129.171515615043,부산,기장군,철마면
법기수원지,관광명소,AT4,경남 양산시 동면 법기리 332,경남 양산시 동면 법기로 198-13,35.3479744338598,129.106296714053,경남,양산시,동면
부산치유의숲,관광명소,AT4,부산 기장군 철마면 장전리 산 180-2,부산 기장군 철마면 철마천로 101,35.2694710168104,129.129569351851,부산,기장군,철마면
안데르센동화마을,기타,,부산 기장군 장안읍 기룡리 산 127,부산 기장군 장안읍 장안로 211,35.3600983499617,129.24002975647,부산,기장군,장안읍
