광역지자체명,기초지자체명,기초지자체 방문자 수
전라북도,고창군,6568793 
전라북도,부안군,8305178 
제주특별자치도,제주시,50947145 
제주특별자치도,서귀포시,39371469 
충청남도,공주시,14007894 
충청남도,보령시,14796644 
충청남도,아산시,21412149 
충청남도,서산시,10484881 
충청남도,논산시,9594511 
충청남도,계룡시,2654049 
충청남도,당진시,12349021 
충청남도,금산군,6269644 
충청남도,부여군,6669455 
충청남도,서천군,6103684 
충청남도,청양군,3473991 
충청남도,홍성군,7105846 
충청남도,예산군,9143844 
충청남도,태안군,16599617 
충청남도,천안시 동남구,22293397 
충청남도,천안시 서북구,21844057 
충청북도,충주시,14737623 
충청북도,제천시,12099432 
충청북도,보은군,4729375 
충청북도,옥천군,5444873 
충청북도,영동군,4124597 
충청북도,증평군,2834930 
충청북도,진천군,7820432 
충청북도,괴산군,6793475 
충청북도,음성군,9234379 
충청북도,단양군,6669433 
충청북도,청주시 상당구,15848627 
충청북도,청주시 서원구,12862240 
충청북도,청주시 흥덕구,18701011 
충청북도,청주시 청원구,14793160 
