시군구,관광명소,기타,숙박,음식점,카페
춘천시,8,6,56,16,31
충주시,4,4,24,6,10
칠곡군,8,4,7,12,12
태백시,3,1,2,0,0
태안군,7,6,181,14,7
통영시,11,10,57,1,5
파주시,4,7,33,23,75
평창군,6,5,64,11,3
평택시,4,18,5,9,43
포천시,6,5,79,13,17
포항시,4,15,46,15,31
하남시,4,15,1,14,28
하동군,4,8,17,2,2
함안군,3,4,3,1,3
함양군,2,5,5,0,0
함평군,1,5,1,0,4
합천군,4,3,13,0,2
해남군,3,4,11,2,0
홍성군,3,4,5,3,5
홍천군,5,5,69,6,8
화성시,13,25,24,9,66
화순군,4,4,4,2,8
화천군,3,2,11,0,0
횡성군,2,0,31,2,4
