시군구,방문자 수,관광명소,기타,숙박,음식점,카페,A10,A11,A12,기초지자체 방문자 수
가평군,22105529,13,11,223,35,37,4.17,3.95,3.99,22105529.0
강남구,103309405,2,11,3,10,36,4.1,4.13,3.98,103309405.0
강동구,23706460,2,6,1,2,18,3.6,3.92,3.96,23706459.0
강릉시,26260986,8,11,70,33,33,4.27,4.13,3.75,26260986.0
강북구,18328235,1,5,1,6,19,4.5,4.0,3.89,18328235.0
강서구,44365489,4,12,2,9,39,4.15,4.17,3.83,44365489.0
강원도 고성군,11587818,0,2,44,2,4,4.28,4.33,4.67,
강진군,3731667,3,5,1,0,0,4.41,4.0,4.0,3731667.0
거제시,16967099,9,10,99,8,18,4.28,4.11,4.0,16967099.0
거창군,4970043,3,2,10,0,2,4.19,4.25,4.25,4970043.0
경남 고성군,6925828,4,3,17,1,1,4.1,4.2,4.0,
경산시,16897159,3,4,0,5,18,4.25,3.8,4.0,16897159.0
경주시,38487665,11,27,113,20,17,4.18,4.02,3.96,38487665.0
계룡시,2654049,1,3,1,0,1,4.0,3.0,3.0,2654049.0
고령군,4108285,3,0,4,0,1,3.89,3.92,3.85,4108285.0
고양시,75257135,6,32,1,34,88,4.12,3.89,3.78,75257135.0
고창군,6568793,3,9,8,2,2,4.2,3.0,2.0,6568793.0
고흥군,6250555,2,3,8,0,0,4.18,3.9,3.93,6250555.0
곡성군,4220504,1,3,8,0,2,4.18,3.75,3.5,4220504.0
공주시,14007894,5,6,18,6,17,4.2,4.0,3.89,14007894.0
과천시,11662793,2,3,1,0,2,4.04,4.17,3.92,11662793.0
관악구,28692265,0,6,0,1,16,4.17,3.97,3.87,28692265.0
광명시,19930245,2,9,1,3,8,4.11,3.96,3.93,19930245.0
광양시,8651194,5,2,3,2,11,4.18,3.2,3.4,8651194.0
광주광역시 광산구,22917960,0,14,0,3,23,4.2,4.06,4.1,22917960.0
광주광역시 남구,11733823,2,2,2,1,17,4.0,4.18,4.13,11733823.0
광주광역시 동구,17762318,1,0,3,4,6,4.33,4.35,4.18,17762318.0
광주광역시 북구,21467178,4,6,3,5,22,4.09,4.22,4.17,21467178.0
광주광역시 서구,25200044,2,3,1,3,18,3.92,4.28,4.07,25200044.0
광주시,24448778,7,7,11,15,37,4.2,4.27,3.91,24448778.0
광진구,29971654,0,4,2,0,26,4.11,4.14,4.14,29971654.0
괴산군,6793475,3,2,19,0,4,4.18,4.0,4.33,6793475.0
구례군,4503554,1,3,22,1,2,4.27,4.09,4.04,4503554.0
구로구,29155037,0,6,1,0,7,4.0,4.13,4.08,29155037.0
구리시,14610752,1,5,0,1,11,4.75,4.26,4.17,14610752.0
구미시,14286993,6,11,1,6,13,4.0,4.57,4.43,14286993.0
군산시,14377306,6,8,5,6,18,4.23,3.0,3.0,14377306.0
군위군,4499849,0,0,0,0,0,3.94,4.02,3.97,4499849.0
군포시,12922885,6,6,0,4,14,4.12,4.5,4.0,12922885.0
금산군,6269644,3,3,10,1,2,4.07,4.07,4.01,6269644.0
금천구,17785107,0,2,0,0,9,3.0,4.05,3.68,17785107.0
김제시,6914139,3,4,0,0,7,4.14,4.03,3.95,6914139.0
김천시,9219130,2,3,8,1,4,4.02,3.5,3.0,9219130.0
김포시,27006654,5,27,4,16,53,4.1,4.0,4.0,27006654.0
김해시,25580274,4,16,2,8,22,4.09,4.0,3.57,25580274.0
나주시,9956429,3,8,5,2,9,4.03,3.97,3.69,9956429.0
남양주시,32210877,7,22,19,39,92,4.08,3.88,3.92,32210877.0
남원시,7035338,0,4,4,0,1,4.19,3.94,3.73,7035338.0
남해군,8232966,9,8,80,5,3,4.33,3.91,3.84,8232966.0
노원구,26938602,8,10,1,4,14,4.13,4.0,4.0,26938602.0
논산시,9594511,3,6,10,1,3,4.18,3.94,3.69,9594511.0
단양군,6669433,0,4,25,1,0,4.23,3.89,3.81,6669433.0
담양군,9883438,4,5,15,5,20,4.33,3.75,3.75,9883438.0
당진시,12349021,5,9,7,2,14,4.2,4.0,4.0,12349021.0
대구광역시 남구,12795176,1,4,1,4,13,4.0,3.83,3.83,12795176.0
대구광역시 달서구,30178387,2,13,0,4,14,4.16,4.04,4.03,30178387.0
대구광역시 달성군,17867385,5,8,3,10,18,4.15,4.11,4.05,17867385.0
대구광역시 동구,31855695,3,9,3,9,21,4.19,4.21,4.12,31855695.0
대구광역시 북구,24462256,2,6,3,1,12,4.14,4.08,3.92,24462256.0
대구광역시 서구,11114600,0,2,0,3,0,4.0,3.91,3.73,11114600.0
대구광역시 수성구,27458635,6,5,2,5,20,4.18,3.87,3.96,27458635.0
대구광역시 중구,33236846,1,2,0,5,13,4.07,4.1,4.0,33236846.0
대전광역시 대덕구,10362892,4,12,0,0,12,4.37,4.08,4.04,10362892.0
대전광역시 동구,14857098,3,7,2,3,8,4.21,3.92,3.88,14857098.0
대전광역시 서구,28766993,1,10,4,9,45,4.19,4.0,4.06,28766993.0
대전광역시 유성구,27183723,3,10,3,8,28,4.18,3.89,3.87,27183723.0
대전광역시 중구,20237493,2,4,0,4,12,4.17,4.15,4.22,20237493.0
도봉구,13459863,2,2,0,2,11,4.22,3.95,3.86,13459863.0
동대문구,24994344,3,2,0,2,14,4.5,3.92,3.95,24994344.0
동두천시,5120948,5,0,6,1,4,4.29,3.97,4.05,5120948.0
동작구,24300103,0,6,0,0,10,4.0,3.9,4.2,24300103.0
동해시,6759629,7,14,15,2,5,4.27,4.02,4.09,6759629.0
마포구,56951532,2,12,3,31,64,4.15,3.98,3.91,56951532.0
목포시,13256884,5,12,6,8,18,4.23,4.0,3.73,13256884.0
무안군,7880451,5,2,2,3,9,3.9,3.98,3.89,7880451.0
무주군,5532536,2,1,20,1,1,4.27,3.9,3.8,5532536.0
문경시,7154024,2,7,11,1,2,4.21,3.89,3.78,7154024.0
밀양시,11559157,4,15,34,4,11,4.15,3.92,3.62,11559157.0
보령시,14796644,6,5,30,6,7,4.22,3.89,3.78,14796644.0
보성군,5010542,3,5,6,1,1,4.26,4.0,3.93,5010542.0
보은군,4729375,4,7,11,0,1,4.2,4.06,4.0,4729375.0
봉화군,3328175,1,2,8,0,0,4.21,3.92,3.89,3328175.0
부산광역시 강서구,19199657,3,7,2,4,15,4.29,3.96,3.93,19199657.0
부산광역시 금정구,16861277,5,3,0,7,7,4.39,3.96,3.88,16861277.0
부산광역시 기장군,29542362,11,10,13,20,29,4.21,4.25,4.0,29542362.0
부산광역시 남구,15420524,4,5,2,1,8,4.32,3.99,3.96,15420524.0
부산광역시 동구,11466138,1,2,0,1,1,4.41,4.0,4.06,11466138.0
부산광역시 동래구,20815215,3,8,0,7,11,4.55,3.94,3.89,20815215.0
부산광역시 부산진구,40672637,2,2,1,10,31,4.47,3.94,3.94,40672637.0
부산광역시 북구,12203564,3,2,1,3,8,4.33,4.0,3.91,12203564.0
부산광역시 사상구,14909226,0,4,2,2,3,4.5,3.96,3.92,14909226.0
부산광역시 사하구,13011480,4,8,1,5,2,4.32,4.08,4.05,13011480.0
부산광역시 서구,10681311,8,11,3,2,3,4.34,4.03,3.96,10681311.0
부산광역시 수영구,21638974,3,1,2,7,25,4.22,4.1,3.97,21638974.0
부산광역시 연제구,16093983,1,2,0,2,7,4.0,3.97,3.88,16093983.0
부산광역시 영도구,7672511,8,10,1,2,4,4.4,3.96,3.92,7672511.0
부산광역시 중구,16380620,1,2,2,1,3,4.25,4.0,3.98,16380620.0
부산광역시 해운대구,41543754,10,11,18,21,21,4.24,4.12,4.02,41543754.0
부안군,8305178,7,5,16,0,2,4.33,4.11,3.95,8305178.0
부여군,6669455,3,10,4,0,2,4.29,4.13,4.01,6669455.0
부천시,35697806,1,10,0,16,46,4.15,4.17,4.05,35697806.0
사천시,10749055,7,8,17,2,1,4.31,4.0,3.94,10749055.0
산청군,6756851,0,3,20,0,0,4.32,4.05,3.98,6756851.0
삼척시,8586812,12,13,31,0,4,4.38,4.04,4.02,8586812.0
상주시,7957210,2,8,7,0,3,4.21,4.03,3.97,7957210.0
서귀포시,39371469,45,42,190,28,46,4.37,3.94,3.96,39371469.0
서대문구,28755350,1,5,0,3,11,3.8,4.13,4.04,28755350.0
서산시,10484881,4,1,9,0,10,4.2,4.03,3.97,10484881.0
서천군,6103684,4,3,9,0,1,4.2,4.0,3.89,6103684.0
서초구,65675204,1,12,0,4,20,4.33,4.09,4.05,65675204.0
성남시,72576971,4,14,0,20,70,4.11,4.16,4.05,72576971.0
성동구,32024962,4,7,0,6,14,4.19,4.07,4.03,32024962.0
성주군,5581487,2,3,11,0,3,3.75,3.92,3.96,5581487.0
세종시,18116176,8,16,5,4,16,4.09,4.14,3.98,18116176.0
속초시,19443033,7,9,12,20,11,4.24,4.1,4.03,19443033.0
송파구,66769373,1,11,0,12,44,4.17,4.15,4.02,66769373.0
수원시,63268553,8,32,0,28,98,4.08,4.13,4.03,88671330.0
순창군,3486708,6,6,4,0,1,4.25,4.2,4.2,3486708.0
순천시,15558789,2,10,12,6,16,4.21,4.0,4.17,15558789.0
시흥시,29130254,3,9,0,15,38,4.16,4.06,3.98,29130254.0
신안군,4849176,4,2,4,0,0,4.36,4.09,4.1,4849176.0
아산시,21412149,5,4,10,2,34,4.26,4.04,3.99,21412149.0
안동시,10821969,2,10,7,3,6,4.17,4.13,4.06,10821969.0
안산시,39936404,8,16,33,24,38,4.13,4.11,4.07,39936404.0
안성시,16585145,7,5,14,3,21,4.12,3.96,3.85,16585145.0
