attractions,etc,accomodation,restaurant,cafe,A11,A12
0.055555556,0.288461538,0.074561404,0.136363636,0.255102041,0.929978118,0.869379015
0.037037037,0.115384615,0.01754386,0.068181818,0.081632653,0.984682713,0.903640257
0.12962963,0.115384615,0.061403509,0.022727273,0.010204082,0.875273523,0.867237687
0.111111111,0.307692308,0.087719298,0.090909091,0.357142857,0.938730853,0.888650964
0.055555556,0.057692308,0.013157895,0.045454545,0.224489796,0.943107221,0.899357602
0,0.038461538,0.004385965,0.022727273,0.071428571,0.964989059,0.895074946
0,0.038461538,0.01754386,0,0,0.897155361,0.854389722
0.018518519,0.057692308,0,0.022727273,0.010204082,0.910284464,0.854389722
0.092592593,0.057692308,0,0.159090909,0.132653061,0.905908096,0.858672377
0.055555556,0.134615385,0.004385965,0.25,0.295918367,0.90809628,0.850107066
0.074074074,0.057692308,0.00877193,0.068181818,0.234693878,0.884026258,0.835117773
0.037037037,0.211538462,0.013157895,0.045454545,0.102040816,0.93654267,0.890792291
0.018518519,0.038461538,0.078947368,0.068181818,0.040816327,0.914660832,0.847965739
0.166666667,0.153846154,0.350877193,0.409090909,0.275510204,0.919037199,0.87366167
0.037037037,0.076923077,0,0.113636364,0.173469388,0.903719912,0.852248394
0.018518519,0.173076923,0,0.227272727,0.367346939,0.923413567,0.882226981
0.018518519,0.019230769,0,0,0,0,0
0.018518519,0.115384615,0,0.045454545,0.193877551,0.95404814,0.895074946
0,0.153846154,0,0.113636364,0.387755102,0.940919037,0.890792291
0.018518519,0.230769231,0.004385965,0.227272727,0.346938776,0.945295405,0.892933619
0.018518519,0.192307692,0.00877193,0.25,0.306122449,0.927789934,0.880085653
0.092592593,0.076923077,0.171052632,0.022727273,0.040816327,0.899343545,0.880085653
0.166666667,0.134615385,0.092105263,0.431818182,0.255102041,0.820568928,0.794432548
0.037037037,0.076923077,0.00877193,0,0.020408163,0.879649891,0.835117773
0,0.057692308,0.048245614,0,0.051020408,0.934354486,0.87366167
0,0.019230769,0.021929825,0,0,0.962800875,0.858672377
0.074074074,0.038461538,0.021929825,0.022727273,0.010204082,0.919037199,0.87366167
0.055555556,0.307692308,0.061403509,0.136363636,0.275510204,0.971553611,0.903640257
0.055555556,0.115384615,0.096491228,0,0.010204082,0.932166302,0.884368308
0.055555556,0.134615385,0.030701754,0,0.051020408,0.879649891,0.854389722
1,1,1,1,0.846938776,0.892778993,0.880085653
0.111111111,0.057692308,0.140350877,0.068181818,0.040816327,0.866520788,0.82869379
0.074074074,0.269230769,0.013157895,0.022727273,0.102040816,0.89059081,0.858672377
0.055555556,0.192307692,0.004385965,0.045454545,0.091836735,0.840262582,0.798715203
0.055555556,0.096153846,0.004385965,0.090909091,0.193877551,0.86214442,0.847965739
0.018518519,0.019230769,0.004385965,0.022727273,0.030612245,0.892778993,0.880085653
0.092592593,0.076923077,0.01754386,0,0.010204082,0.89059081,0.871520343
0.055555556,0.057692308,0.030701754,0,0.010204082,0.897155361,0.850107066
0.166666667,0.269230769,0.021929825,0.045454545,0.071428571,0.857768053,0.87366167
0.037037037,0.038461538,0.00877193,0.022727273,0.030612245,0.875273523,0.869379015
0.055555556,0.153846154,0.01754386,0,0.020408163,0.919037199,0.899357602
0.222222222,0.5,0.039473684,0.363636364,0.5,0.90809628,0.880085653
0.092592593,0.346153846,0.048245614,0.318181818,0.56122449,0.875273523,0.884368308
0.055555556,0.019230769,0.052631579,0,0.030612245,0.884026258,0.826552463
0.018518519,0.057692308,0.100877193,0.068181818,0.081632653,0.877461707,0.839400428
0,0.038461538,0.013157895,0,0,0.827133479,0.713062099
0.055555556,0.019230769,0.026315789,0,0,0.820568928,0.766595289
0.092592593,0.192307692,0.048245614,0.340909091,0.479591837,0.835886214,0.856531049
0.148148148,0.115384615,0.245614035,0.363636364,0.316326531,0.807439825,0.884368308
0.074074074,0.076923077,0.105263158,0.136363636,0.102040816,0.851203501,0.845824411
0.148148148,0.076923077,0.030701754,0.272727273,0.12244898,0.879649891,0.852248394
0.055555556,0.019230769,0.00877193,0,0,0.932166302,0.897216274
0.12962963,0.115384615,0.793859649,0.318181818,0.071428571,0.903719912,0.875802998
0.203703704,0.192307692,0.25,0.022727273,0.051020408,0.914660832,0.884368308
0.074074074,0.134615385,0.144736842,0.522727273,0.765306122,0.923413567,0.86509636
0.111111111,0.096153846,0.280701754,0.25,0.030612245,0.875273523,0.862955032
0.074074074,0.346153846,0.021929825,0.204545455,0.43877551,0.888402626,0.87366167
0.111111111,0.096153846,0.346491228,0.295454545,0.173469388,0.910284464,0.877944325
0.074074074,0.288461538,0.201754386,0.340909091,0.316326531,0.90809628,0.860813704
0.074074074,0.288461538,0.004385965,0.318181818,0.285714286,0.901531729,0.86509636
0.074074074,0.153846154,0.074561404,0.045454545,0.020408163,0.914660832,0.895074946
0.055555556,0.076923077,0.013157895,0.022727273,0.030612245,0.894967177,0.856531049
0.037037037,0.096153846,0.021929825,0,0,0.866520788,0.832976445
0.018518519,0.096153846,0.004385965,0,0.040816327,0.864332604,0.845824411
0.074074074,0.057692308,0.057017544,0,0.020408163,0.925601751,0.875802998
0.055555556,0.076923077,0.048245614,0.045454545,0,0.927789934,0.875802998
0.055555556,0.076923077,0.021929825,0.068181818,0.051020408,0.927789934,0.869379015
0.092592593,0.096153846,0.302631579,0.136363636,0.081632653,0.90809628,0.87366167
0.240740741,0.480769231,0.105263158,0.204545455,0.673469388,0.879649891,0.852248394
0.074074074,0.076923077,0.01754386,0.045454545,0.081632653,0.910284464,0.850107066
0.055555556,0.038461538,0.048245614,0,0,0.925601751,0.880085653
0.037037037,0,0.135964912,0.045454545,0.040816327,0.927789934,0.884368308
