att,etx,acc,res,caf,A11,A12,x1,x2,x3,x5,x6
0.018518519,0.230769231,0,0.090909091,0.204081633,0.694267516,0.767790262,0.173250165,0.482508692,0.250303243,0.354587408,0.044786001
0.074074074,0.269230769,0,0.454545455,0.714285714,0.738853503,0.767790262,0.034942047,0.415551911,0.197726764,0.965741204,0.005460132
0.074074074,0.134615385,0,0.136363636,0.142857143,0.681528662,0.760299625,0.000142983,0.231095659,0.013459972,0.118023461,0.001113421
0.037037037,0.057692308,0.048245614,0,0.030612245,0.585987261,0.734082397,0.009779869,0.006861737,0.019553538,0.007267904,0.019189062
0.148148148,0.307692308,0.021929825,0.090909091,0.163265306,0.72611465,0.741573034,0.100585472,0.254699015,0.050400674,0.258169098,0.040884788
0.12962963,0.173076923,0.052631579,0.454545455,0.112244898,0.700636943,0.760299625,0.251207962,0.157929643,0.744839127,0.451195325,0.537522674
0.018518519,0.211538462,0,0.272727273,0.448979592,0.732484076,0.756554307,0.010164134,0.708694,0.239528786,0.354561349,0.033227818
0.148148148,0.615384615,0,0.636363636,1,0.719745223,0.760299625,0.194068562,0.661839303,0.285394962,0.813904668,0.011066373
0.111111111,0.115384615,0.01754386,0,0.010204082,0.76433121,0.823970037,0.039872196,0.01091858,0.005285327,0.009287077,0.035580548
0.037037037,0.192307692,0.052631579,0.136363636,0.163265306,0.636942675,0.812734082,0.209180717,0.038960893,0.067114922,0.113279124,0.026786675
0.055555556,0.173076923,0,0.340909091,0.387755102,0.675159236,0.741573034,0.01138361,0.476637698,0.087347528,0.353746645,0.055771492
0.074074074,0.038461538,0.01754386,0,0,0.694267516,0.786516854,0.076656518,0.021582077,0.02114377,0.003603976,0.050306142
0.092592593,0.076923077,0.043859649,0.045454545,0.346938776,0.662420382,0.745318352,0.182143955,0.095479671,0.090681356,0.204890268,0.060878096
0.037037037,0.192307692,0.030701754,0.068181818,0.06122449,0.719745223,0.771535581,0.05576938,0.042462675,0.052901661,0.051805937,0.007408456
0.148148148,0.307692308,0.144736842,0.545454545,0.387755102,0.707006369,0.775280899,0.107241722,0.454866859,0.279577371,0.448723077,0.066008181
0.12962963,0.096153846,0.061403509,0.068181818,0.214285714,0.611464968,0.692883895,0.028738805,0.138732084,0.060299643,0.172579822,0.066387801
0.018518519,0.115384615,0.00877193,0.181818182,0.326530612,0.713375796,0.764044944,0.005094441,0.176082892,0.05649424,0.230971972,0.001816565
0.055555556,0.076923077,0.01754386,0,0,0.707006369,0.779026217,0.006982085,0.018381803,0.010637905,0.00558462,0.014867789
0.055555556,0.134615385,0.035087719,0.181818182,0.265306122,0.636942675,0.737827715,0.019622292,0.111648883,0.098780959,0.173570864,0.046617568
0.148148148,0.076923077,0.271929825,0.386363636,0.112244898,0.713375796,0.74906367,0.058341691,0.054183236,0.404572962,0.13311626,0.496365239
0.185185185,0.153846154,0.052631579,0.477272727,0.214285714,0.707006369,0.767790262,0.012076526,0.190502743,0.071972552,0.211738989,0.065125663
0.037037037,0.192307692,0,0.068181818,0.163265306,0.675159236,0.74906367,2.06E-06,0.103417859,0.000768462,0.093751179,1.50E-05
0.203703704,0.173076923,0.342105263,0.545454545,0.204081633,0.662420382,0.760299625,0.202195195,0.100387982,0.214028486,0.202402832,0.073154425
0.166666667,0.211538462,0.210526316,0.25,0.142857143,0.636942675,0.74906367,0.284274051,0.288282755,0.378165189,0.244049275,0.185917803
0.074074074,0.038461538,0.052631579,0.090909091,0.112244898,0.656050955,0.760299625,0.027553699,0.082152596,0.088022084,0.255065199,0.026200287
0.037037037,0.038461538,0.144736842,0,0.020408163,0.719745223,0.767790262,0.035511915,0.048208678,0.072550743,0.036607783,0.061075733
0.055555556,0.057692308,0.00877193,0.045454545,0,0.700636943,0.767790262,0.057460424,0.033059289,0.014172255,0.020503799,0.029257465
0.148148148,0.153846154,0.131578947,0.045454545,0.010204082,0.713375796,0.775280899,0.017361381,0.050528915,0.048987181,0.020048805,0.203489241
0.037037037,0,0.01754386,0,0,0.687898089,0.756554307,0.017660407,0.007995837,0.007691999,0.007018185,0.025618464
0.037037037,0.096153846,0,0.068181818,0.153061224,0.675159236,0.745318352,0.031348923,0.376216045,0.221599106,0.21573385,0.001553049
0,0.057692308,0.01754386,0.022727273,0.030612245,0.50955414,0.74906367,0.010706506,0.013707149,0.02581605,0.012468034,0.032013296
0.074074074,0.019230769,0.01754386,0,0.010204082,0.707006369,0.752808989,0.002420392,0,0,0,0.006364175
0.037037037,0.096153846,0.118421053,0.022727273,0.020408163,0.662420382,0.72659176,0.025461205,0.067027184,0.104997134,0.022319136,0.027932057
0,0.076923077,0.030701754,0.022727273,0.010204082,0.707006369,0.760299625,0.024085685,0.023325315,0.030526466,0.026723907,0.00931373
0.074074074,0.096153846,0.021929825,0.022727273,0.051020408,0.675159236,0.730337079,0.045096558,0.029544243,0.026238007,0.032805407,0.015948596
0.055555556,0.153846154,0.043859649,0.022727273,0.030612245,0.617834395,0.72659176,0.111594441,0.020420938,0.078033312,0.054119593,0.029877119
0,0.038461538,0.021929825,0,0.010204082,0.617834395,0.72659176,0.023991509,0.017153323,0.006296547,0.01480615,0.004077977
0.055555556,0.173076923,0.004385965,0.113636364,0.071428571,0.681528662,0.730337079,0.006538702,0.081323065,0.059159252,0.231342234,0.040364278
0.092592593,0.096153846,0.00877193,0.022727273,0.040816327,0.713375796,0.745318352,0.018312765,0.025111408,0.01022661,0.021790122,0.018046289
0.074074074,0.134615385,0.035087719,0,0.010204082,0.713375796,0.775280899,0.126705909,0.011402218,0.014783662,0.005629064,0.063434333
0.018518519,0.038461538,0.061403509,0,0.071428571,0.738853503,0.752808989,0.034143957,0.034654579,0.058217333,0.054375227,0.029364437
0,0.057692308,0,0.295454545,0.326530612,0.611464968,0.63670412,0.273093228,0.558439299,0.226072094,0.198568641,0.030229996
0.148148148,0.384615385,0.131578947,0.340909091,0.612244898,0.872611465,0.805243446,0.226462357,1,0.386674447,1,0.067898452
0.092592593,0.057692308,0.013157895,0.068181818,0.030612245,0.78343949,0.771535581,0.018246085,0.015268768,0.006324432,0.003459133,0.025309941
0.12962963,0.115384615,0.061403509,0.022727273,0.010204082,0.636942675,0.767790262,0.053341427,0.044291621,0.067996972,0.020359275,0.194812124
0.111111111,0.307692308,0.087719298,0.090909091,0.357142857,0.821656051,0.805243446,0.185955677,0.153471299,0.183292477,0.22748662,0.038177877
0.055555556,0.057692308,0.013157895,0.045454545,0.224489796,0.834394904,0.823970037,0.022015875,0.049680508,0.022229622,0.078633121,0.003126971
0,0.038461538,0.004385965,0.022727273,0.071428571,0.898089172,0.816479401,0.019531553,0.021054565,0.026652172,0.045850575,0.019155796
0,0.038461538,0.01754386,0,0,0.700636943,0.745318352,0.009599078,0.006434728,0.005133603,0.006426342,0.004437377
0.018518519,0.057692308,0,0.022727273,0.010204082,0.738853503,0.745318352,0.004048881,0.007337722,0.003149299,0.005078948,0.010633919
0.092592593,0.057692308,0,0.159090909,0.132653061,0.72611465,0.752808989,0.012432607,0.088727109,0.019602745,0.209622934,0.023208335
0.055555556,0.134615385,0.004385965,0.25,0.295918367,0.732484076,0.737827715,0.011864802,0.094807272,0.045439709,0.23276141,0.001717421
0.074074074,0.057692308,0.00877193,0.068181818,0.234693878,0.662420382,0.711610487,0.079200645,0.124471404,0.097002917,0.215057755,0.008050939
0.037037037,0.211538462,0.013157895,0.045454545,0.102040816,0.815286624,0.808988764,0.159097643,0.081792929,0.037858838,0.080871317,0.003452453
0.018518519,0.038461538,0.078947368,0.068181818,0.040816327,0.751592357,0.734082397,0.040457874,0.029036627,0.07574966,0.039299854,0.123811487
0.037037037,0.076923077,0.00877193,0,0.020408163,0.649681529,0.711610487,0.023554312,0.017808376,0.002741284,0.012667393,0.014062238
0,0.057692308,0.048245614,0,0.051020408,0.808917197,0.779026217,0.018030237,0.033589352,0.017098889,0.024562289,0.026377051
0,0.019230769,0.021929825,0,0,0.891719745,0.752808989,0.001182356,0.002585523,0.002922943,0.00131494,0.009519846
0.074074074,0.038461538,0.021929825,0.022727273,0.010204082,0.76433121,0.779026217,0.004734922,0.017226277,0.005558021,0.005935697,0.023655791
0.055555556,0.307692308,0.061403509,0.136363636,0.275510204,0.917197452,0.831460674,0.092530331,0.296762739,0.233908026,0.346378662,0.062805547
0.055555556,0.115384615,0.096491228,0,0.010204082,0.802547771,0.797752809,0.047714926,0.225019067,0.238349439,0.025295298,0.066764159
0.055555556,0.134615385,0.030701754,0,0.051020408,0.649681529,0.745318352,0.043213038,0.039009869,0.020982614,0.027015832,0.012617465
1,1,1,1,0.846938776,0.687898089,0.790262172,1,0.427962217,0.770183192,0.775343419,1
0.111111111,0.057692308,0.140350877,0.068181818,0.040816327,0.611464968,0.700374532,0.169294086,0.03223333,0.183986717,0.096450604,0.090467565
0.074074074,0.269230769,0.013157895,0.022727273,0.102040816,0.681528662,0.752808989,0.137455722,0.44125103,0.168467809,0.167822216,0.003705532
0.018518519,0.019230769,0.004385965,0.022727273,0.030612245,0.687898089,0.790262172,0.009927663,0.009479401,0.0090243,0.020599722,0.016078397
0.092592593,0.076923077,0.01754386,0,0.010204082,0.681528662,0.775280899,0.02339277,0.022954424,0.073073986,0.011663242,0.054200832
0.055555556,0.057692308,0.030701754,0,0.010204082,0.700636943,0.737827715,0.008923348,0.013440332,0.010925771,0.003520363,0.05011568
0.166666667,0.269230769,0.021929825,0.045454545,0.071428571,0.585987261,0.779026217,0.064868707,0.065591576,0.098643177,0.134032322,0.039737449
0.037037037,0.038461538,0.00877193,0.022727273,0.030612245,0.636942675,0.771535581,0.01593843,0.020743363,0.038216824,0.044253622,0.027541349
0.055555556,0.153846154,0.01754386,0,0.020408163,0.76433121,0.823970037,0.006128314,0.038076775,0.033130379,0.01401207,0.025975907
0.222222222,0.5,0.039473684,0.363636364,0.5,0.732484076,0.790262172,0.234061742,0.494154259,0.30450522,0.400155171,0.113801788
0.092592593,0.346153846,0.048245614,0.318181818,0.56122449,0.636942675,0.797752809,0.074355736,0.274947006,0.223361155,0.485464352,0.029993875
0.055555556,0.019230769,0.052631579,0,0.030612245,0.662420382,0.696629213,0.09495141,0.062856064,0.032594424,0.035806349,0.072656093
0.018518519,0.057692308,0.100877193,0.068181818,0.081632653,0.643312102,0.719101124,0.017379941,0.033213359,0.045079261,0.035749275,0.018335896
0,0.038461538,0.013157895,0,0,0.496815287,0.498127341,0.002888522,0.006284739,0.029819104,0.007797717,0.078142968
0.055555556,0.019230769,0.026315789,0,0,0.477707006,0.5917603,0.026690992,0.012761301,0.007299976,0.006646964,0.014746467
0.092592593,0.192307692,0.048245614,0.340909091,0.479591837,0.522292994,0.74906367,0.503483481,0.304665216,0.208611528,0.456222154,0.031918717
0.148148148,0.115384615,0.245614035,0.363636364,0.316326531,0.439490446,0.797752809,0.123470241,0.334853799,0.253638711,0.4205469,0.163550241
0.074074074,0.076923077,0.105263158,0.136363636,0.102040816,0.566878981,0.730337079,0.06803632,0.084754444,0.122786162,0.115724194,0.08247533
0.148148148,0.076923077,0.030701754,0.272727273,0.12244898,0.649681529,0.741573034,0.019041426,0.036554949,0.029556252,0.047602444,0.026268775
0.055555556,0.019230769,0.00877193,0,0,0.802547771,0.820224719,0.02703195,0.021270875,0.022679053,0.014180094,0.021589407
0.12962963,0.115384615,0.793859649,0.318181818,0.071428571,0.719745223,0.782771536,0.080297074,0.11817085,0.478743052,0.099315655,0.848679125
0.203703704,0.192307692,0.25,0.022727273,0.051020408,0.751592357,0.797752809,0.185771449,0.072359953,0.1715068,0.102447852,0.070800391
0.074074074,0.134615385,0.144736842,0.522727273,0.765306122,0.777070064,0.764044944,0.539485524,0.352132623,0.152921426,0.534457036,0.08460107
0.111111111,0.096153846,0.280701754,0.25,0.030612245,0.636942675,0.760299625,0.116440037,0.146532527,0.363141639,0.087384309,0.038318767
0.074074074,0.346153846,0.021929825,0.204545455,0.43877551,0.675159236,0.779026217,0.083255713,0.342713422,0.180651659,0.596185378,0.030011486
0.111111111,0.096153846,0.346491228,0.295454545,0.173469388,0.738853503,0.786516854,0.045690485,0.136879159,0.242085951,0.214801482,0.299848087
0.074074074,0.288461538,0.201754386,0.340909091,0.316326531,0.732484076,0.756554307,0.299940951,0.200935135,0.218697896,0.270086375,0.3966146
0.074074074,0.288461538,0.004385965,0.318181818,0.285714286,0.713375796,0.764044944,0.002006568,0.270666201,0.03755662,0.370337597,0.000419408
0.074074074,0.153846154,0.074561404,0.045454545,0.020408163,0.751592357,0.816479401,0.0811096,0.031201263,0.032578021,0.022669574,0.018286323
0.055555556,0.076923077,0.013157895,0.022727273,0.030612245,0.694267516,0.74906367,0.004085314,0.049200442,0.004729689,0.020627859,0.00278714
0.037037037,0.096153846,0.021929825,0,0,0.611464968,0.707865169,0.010588957,0.020233707,0.015928563,0.006656237,0.018008457
0.018518519,0.096153846,0.004385965,0,0.040816327,0.605095541,0.730337079,0.005427837,0.033132243,0.004386055,0.011697455,0.028139478
0.074074074,0.057692308,0.057017544,0,0.020408163,0.78343949,0.782771536,0.026459333,0.046997033,0.028814445,0.013305759,0.0331652
0.055555556,0.076923077,0.048245614,0.045454545,0,0.789808917,0.782771536,0.045801159,0.043540656,0.020039055,0.014676654,0.023646007
0.055555556,0.076923077,0.021929825,0.068181818,0.051020408,0.789808917,0.771535581,0.022404953,0.036445263,0.017407258,0.038922398,0.086636145
0.092592593,0.096153846,0.302631579,0.136363636,0.081632653,0.732484076,0.779026217,0.095524028,0.379563757,1,0.165376506,0.076409241
0.240740741,0.480769231,0.105263158,0.204545455,0.673469388,0.649681529,0.741573034,0.200025022,0.386481102,0.267191358,0.61900539,0.463789036
0.074074074,0.076923077,0.01754386,0.045454545,0.081632653,0.738853503,0.737827715,0.014067283,0.028325966,0.01874817,0.034299723,0.023216162
0.055555556,0.038461538,0.048245614,0,0,0.78343949,0.790262172,0.013067092,0.025505766,0.018220416,0.003380156,0.007736546
0.037037037,0,0.135964912,0.045454545,0.040816327,0.789808917,0.797752809,0.030385854,0.018727696,0.09651453,0.050167417,0.02903178
