시군구,방문자 수,관광명소,기타,숙박,음식점,카페,기타관광_검색건수,문화관광_검색건수,숙박_검색건수,역사관광_검색건수,음식_검색건수,자연관광_검색건수,체험관광_검색건수
밀양시,11559157,4,15,34,4,11,101062,91239,166215,137611,280364,78132,10201
보령시,14796644,6,5,30,6,7,78602,163487,435096,12732,492526,405562,3680
보성군,5010542,3,5,6,1,1,62040,30808,43231,13303,75259,61656,14994
보은군,4729375,4,7,11,0,1,22270,53018,58116,74352,79364,84777,104
봉화군,3328175,1,2,8,0,0,32506,13259,23517,20660,34603,32578,65
부산광역시 강서구,19199657,3,7,2,4,15,818478,223616,114263,4362,752623,0,1267
부산광역시 금정구,16861277,5,3,0,7,7,47490,79246,25064,100619,447868,0,6263
부산광역시 기장군,29542362,11,10,13,20,29,71464,509744,328682,280951,1676099,0,17196
부산광역시 남구,15420524,4,5,2,1,8,11547,213817,67112,9787,351575,0,0
부산광역시 동구,11466138,1,2,0,1,1,93881,26172,130449,5105,191139,0,0
부산광역시 동래구,20815215,3,8,0,7,11,3525,133299,99531,19667,461771,0,57867
부산광역시 부산진구,40672637,2,2,1,10,31,32118,204679,234091,37775,504511,0,426
부산광역시 북구,12203564,3,2,1,3,8,29536,54791,48829,3778,249405,0,9
부산광역시 사상구,14909226,0,4,2,2,3,57990,105016,95922,6402,354134,0,714
부산광역시 사하구,13011480,4,8,1,5,2,53404,43302,32175,3471,264887,0,3
부산광역시 서구,10681311,8,11,3,2,3,68976,43127,74926,6173,110112,0,21
부산광역시 수영구,21638974,3,1,2,7,25,1020,61153,151015,5876,755772,0,235
부산광역시 연제구,16093983,1,2,0,2,7,670,7303,54957,12698,277695,0,17
부산광역시 영도구,7672511,8,10,1,2,4,11307,83472,64952,128217,296816,0,4801
부산광역시 중구,16380620,1,2,2,1,3,9147,70064,144848,2553,153953,0,0
부산광역시 해운대구,41543754,10,11,18,21,21,99264,607500,1142892,16776,1558699,0,20095
부안군,8305178,7,5,16,0,2,134555,46670,243204,56806,190788,267466,2158
부여군,6669455,3,10,4,0,2,24142,119306,119637,135445,201357,8857,2750
부천시,35697806,1,10,0,16,46,68938,560824,167986,25605,1544992,8161,2310
사천시,10749055,7,8,17,2,1,177633,74528,105370,35899,300544,95311,2162
산청군,6756851,0,3,20,0,0,48277,29077,90126,81837,92382,19129,1413
삼척시,8586812,12,13,31,0,4,136369,98435,957572,17071,555430,473342,1078
상주시,7957210,2,8,7,0,3,25054,61890,70095,12549,139192,35932,1397
서귀포시,39371469,45,42,190,28,46,832980,937748,2081259,91780,2893517,980453,90615
서대문구,28755350,1,5,0,3,11,418,177247,135699,39530,500601,1005,124
서산시,10484881,4,1,9,0,10,74929,68871,145809,280434,475746,261346,4732
서천군,6103684,4,3,9,0,1,93994,70141,75900,19674,92629,208444,9216
서초구,65675204,1,12,0,4,20,252031,948479,614928,158394,2222207,68665,540
성남시,72576971,4,14,0,20,70,50831,817234,486713,54991,6044996,8374,3293
성동구,32024962,4,7,0,6,14,208,455673,37353,1656,742491,1710,524
