attractions,etc,accomodations,restaurant,cafe,A11,A12
0.092592593,0.519230769,0.01754386,0.363636364,0.540816327,0.636942675,0.74906367
0.074074074,0.307692308,0.00877193,0.181818182,0.224489796,0.636942675,0.588014981
0.055555556,0.153846154,0.021929825,0.045454545,0.091836735,0.617834395,0.632958801
0.12962963,0.423076923,0.083333333,0.886363636,0.93877551,0.560509554,0.719101124
0,0.076923077,0.01754386,0,0.010204082,0.598726115,0.647940075
0.166666667,0.153846154,0.350877193,0.113636364,0.030612245,0.579617834,0.689138577
0.148148148,0.192307692,0.004385965,0.090909091,0.142857143,0.636942675,0.74906367
0.055555556,0.115384615,0.043859649,0.022727273,0.030612245,0.598726115,0.632958801
0,0.076923077,0.109649123,0.022727273,0,0.566878981,0.677902622
0.074074074,0.096153846,0.065789474,0.113636364,0.204081633,0.477707006,0.655430712
0.092592593,0.173076923,0.030701754,0.045454545,0.142857143,0.636942675,0.74906367
0.018518519,0.076923077,0.004385965,0.090909091,0.132653061,0.52866242,0.685393258
0.037037037,0.25,0,0.090909091,0.142857143,0.662420382,0.760299625
0.092592593,0.153846154,0.013157895,0.227272727,0.183673469,0.707006369,0.767790262
0.055555556,0.173076923,0.013157895,0.204545455,0.214285714,0.770700637,0.794007491
0.037037037,0.115384615,0.013157895,0.022727273,0.12244898,0.687898089,0.719101124
0,0.038461538,0,0.068181818,0,0.579617834,0.647940075
0.111111111,0.096153846,0.00877193,0.113636364,0.204081633,0.554140127,0.734082397
0.018518519,0.038461538,0,0.113636364,0.132653061,0.700636943,0.74906367
0.074074074,0.230769231,0,0,0.12244898,0.687898089,0.764044944
0.055555556,0.134615385,0.00877193,0.068181818,0.081632653,0.585987261,0.70411985
0.018518519,0.192307692,0.01754386,0.204545455,0.459183673,0.636942675,0.771535581
0.055555556,0.192307692,0.013157895,0.181818182,0.285714286,0.566878981,0.700374532
0.037037037,0.076923077,0,0.090909091,0.12244898,0.732484076,0.831460674
0.037037037,0.038461538,0,0.045454545,0.112244898,0.605095541,0.696629213
0.055555556,0.038461538,0,0.045454545,0.142857143,0.585987261,0.730337079
0.092592593,0,0.026315789,0.022727273,0.040816327,0.617834395,0.767790262
0,0.115384615,0,0,0.102040816,0.573248408,0.823970037
0.12962963,0.269230769,0.065789474,0.045454545,0.051020408,0.649681529,0.782771536
0.037037037,0.230769231,0.013157895,0.704545455,0.653061224,0.624203822,0.715355805
0.092592593,0.230769231,0.026315789,0.181818182,0.183673469,0.636942675,0.647940075
0.092592593,0.038461538,0.00877193,0.068181818,0.091836735,0.624203822,0.707865169
0.037037037,0.019230769,0.087719298,0.022727273,0.010204082,0.573248408,0.674157303
0.037037037,0.134615385,0.048245614,0.022727273,0.020408163,0.566878981,0.666666667
0.074074074,0.288461538,0.149122807,0.090909091,0.112244898,0.585987261,0.606741573
0.111111111,0.096153846,0.131578947,0.136363636,0.071428571,0.566878981,0.666666667
0.055555556,0.096153846,0.026315789,0.022727273,0.010204082,0.636942675,0.722846442
0.074074074,0.134615385,0.048245614,0,0.010204082,0.675159236,0.74906367
0.018518519,0.038461538,0.035087719,0,0,0.585987261,0.707865169
0.055555556,0.134615385,0.00877193,0.090909091,0.153061224,0.611464968,0.722846442
0.092592593,0.057692308,0,0.159090909,0.071428571,0.611464968,0.70411985
0.203703704,0.192307692,0.057017544,0.454545455,0.295918367,0.796178344,0.74906367
0.074074074,0.096153846,0.00877193,0.022727273,0.081632653,0.630573248,0.734082397
0.018518519,0.038461538,0,0.022727273,0.010204082,0.636942675,0.771535581
0.055555556,0.153846154,0,0.159090909,0.112244898,0.598726115,0.707865169
0.037037037,0.038461538,0.004385965,0.227272727,0.316326531,0.598726115,0.72659176
0.055555556,0.038461538,0.004385965,0.068181818,0.081632653,0.636942675,0.715355805
0,0.076923077,0.00877193,0.045454545,0.030612245,0.611464968,0.719101124
0.074074074,0.153846154,0.004385965,0.113636364,0.020408163,0.687898089,0.767790262
0.148148148,0.211538462,0.013157895,0.045454545,0.030612245,0.656050955,0.734082397
0.055555556,0.019230769,0.00877193,0.159090909,0.255102041,0.700636943,0.737827715
0.018518519,0.038461538,0,0.045454545,0.071428571,0.617834395,0.70411985
0.148148148,0.192307692,0.004385965,0.045454545,0.040816327,0.611464968,0.719101124
0.018518519,0.038461538,0.00877193,0.022727273,0.030612245,0.636942675,0.741573034
0.185185185,0.211538462,0.078947368,0.477272727,0.214285714,0.713375796,0.756554307
0.12962963,0.096153846,0.070175439,0,0.020408163,0.707006369,0.730337079
0.055555556,0.192307692,0.01754386,0,0.020408163,0.719745223,0.752808989
0.018518519,0.192307692,0,0.363636364,0.469387755,0.74522293,0.767790262
0.12962963,0.153846154,0.074561404,0.045454545,0.010204082,0.636942675,0.72659176
0,0.057692308,0.087719298,0,0,0.668789809,0.741573034
0.222222222,0.25,0.135964912,0,0.040816327,0.662420382,0.756554307
0.037037037,0.153846154,0.030701754,0,0.030612245,0.656050955,0.737827715
0.833333333,0.807692308,0.833333333,0.636363636,0.469387755,0.598726115,0.734082397
0.018518519,0.096153846,0,0.068181818,0.112244898,0.719745223,0.764044944
0.074074074,0.019230769,0.039473684,0,0.102040816,0.656050955,0.737827715
0.074074074,0.057692308,0.039473684,0,0.010204082,0.636942675,0.707865169
0.018518519,0.230769231,0,0.090909091,0.204081633,0.694267516,0.767790262
0.074074074,0.269230769,0,0.454545455,0.714285714,0.738853503,0.767790262
0.074074074,0.134615385,0,0.136363636,0.142857143,0.681528662,0.760299625
0.037037037,0.057692308,0.048245614,0,0.030612245,0.585987261,0.734082397
0.148148148,0.307692308,0.021929825,0.090909091,0.163265306,0.72611465,0.741573034
0.12962963,0.173076923,0.052631579,0.454545455,0.112244898,0.700636943,0.760299625
0.018518519,0.211538462,0,0.272727273,0.448979592,0.732484076,0.756554307
0.148148148,0.615384615,0,0.636363636,1,0.719745223,0.760299625
0.111111111,0.115384615,0.01754386,0,0.010204082,0.76433121,0.823970037
0.037037037,0.192307692,0.052631579,0.136363636,0.163265306,0.636942675,0.812734082
0.055555556,0.173076923,0,0.340909091,0.387755102,0.675159236,0.741573034
0.074074074,0.038461538,0.01754386,0,0,0.694267516,0.786516854
0.092592593,0.076923077,0.043859649,0.045454545,0.346938776,0.662420382,0.745318352
0.037037037,0.192307692,0.030701754,0.068181818,0.06122449,0.719745223,0.771535581
0.148148148,0.307692308,0.144736842,0.545454545,0.387755102,0.707006369,0.775280899
0.12962963,0.096153846,0.061403509,0.068181818,0.214285714,0.611464968,0.692883895
0.018518519,0.115384615,0.00877193,0.181818182,0.326530612,0.713375796,0.764044944
0.055555556,0.076923077,0.01754386,0,0,0.707006369,0.779026217
0.055555556,0.134615385,0.035087719,0.181818182,0.265306122,0.636942675,0.737827715
0.148148148,0.076923077,0.271929825,0.386363636,0.112244898,0.713375796,0.74906367
0.185185185,0.153846154,0.052631579,0.477272727,0.214285714,0.707006369,0.767790262
0.037037037,0.192307692,0,0.068181818,0.163265306,0.675159236,0.74906367
0.203703704,0.173076923,0.342105263,0.545454545,0.204081633,0.662420382,0.760299625
0.166666667,0.211538462,0.210526316,0.25,0.142857143,0.636942675,0.74906367
0.074074074,0.038461538,0.052631579,0.090909091,0.112244898,0.656050955,0.760299625
0.037037037,0.038461538,0.144736842,0,0.020408163,0.719745223,0.767790262
0.055555556,0.057692308,0.00877193,0.045454545,0,0.700636943,0.767790262
0.148148148,0.153846154,0.131578947,0.045454545,0.010204082,0.713375796,0.775280899
0.037037037,0,0.01754386,0,0,0.687898089,0.756554307
0.037037037,0.096153846,0,0.068181818,0.153061224,0.675159236,0.745318352
0,0.057692308,0.01754386,0.022727273,0.030612245,0.50955414,0.74906367
0.074074074,0.019230769,0.01754386,0,0.010204082,0.707006369,0.752808989
0.037037037,0.096153846,0.118421053,0.022727273,0.020408163,0.662420382,0.72659176
0,0.076923077,0.030701754,0.022727273,0.010204082,0.707006369,0.760299625
0.074074074,0.096153846,0.021929825,0.022727273,0.051020408,0.675159236,0.730337079
0.055555556,0.153846154,0.043859649,0.022727273,0.030612245,0.617834395,0.72659176
0,0.038461538,0.021929825,0,0.010204082,0.617834395,0.72659176
0.055555556,0.173076923,0.004385965,0.113636364,0.071428571,0.681528662,0.730337079
0.092592593,0.096153846,0.00877193,0.022727273,0.040816327,0.713375796,0.745318352
0.074074074,0.134615385,0.035087719,0,0.010204082,0.713375796,0.775280899
0.018518519,0.038461538,0.061403509,0,0.071428571,0.738853503,0.752808989
0,0.057692308,0,0.295454545,0.326530612,0.611464968,0.63670412
0.148148148,0.384615385,0.131578947,0.340909091,0.612244898,0.872611465,0.805243446
0.092592593,0.057692308,0.013157895,0.068181818,0.030612245,0.78343949,0.771535581
0.074074074,0.25,0.004385965,0.090909091,0.255102041,0.808917197,0.857677903
0.074074074,0.076923077,0.004385965,0.045454545,0.071428571,0.675159236,0.74906367
0,0.269230769,0.026315789,0.068181818,0.091836735,0.808917197,0.842696629
0.055555556,0.288461538,0.074561404,0.136363636,0.255102041,0.796178344,0.771535581
0.037037037,0.115384615,0.01754386,0.068181818,0.081632653,0.955414013,0.831460674
0.12962963,0.115384615,0.061403509,0.022727273,0.010204082,0.636942675,0.767790262
0.111111111,0.307692308,0.087719298,0.090909091,0.357142857,0.821656051,0.805243446
0.055555556,0.057692308,0.013157895,0.045454545,0.224489796,0.834394904,0.823970037
