시군구,관광명소,기타,숙박,음식점,카페,A11,A12
영동군,2,0,4,0,0,4.08,4.02
영등포구,2,5,0,3,15,4.06,3.99
영암군,0,3,4,1,3,3.8,4
영양군,4,1,4,0,1,4.11,4.01
영월군,2,5,27,1,2,4.04,3.94
영주시,0,4,7,1,1,4.11,4.03
영천시,4,5,5,1,5,4.06,3.95
예산군,3,8,10,1,3,3.97,3.94
예천군,0,2,5,0,1,3.97,3.94
오산시,3,9,1,5,7,4.07,3.95
옥천군,5,5,2,1,4,4.12,3.99
완도군,4,7,8,0,1,4.12,4.07
완주군,1,2,14,0,7,4.16,4.01
용산구,0,3,0,13,32,3.96,3.7
용인시,8,20,30,15,60,4.37,4.15
울릉군,5,3,3,3,3,4.23,4.06
울산광역시 남구,4,13,1,4,25,4.27,4.29
울산광역시 동구,4,4,1,2,7,4.06,4
울산광역시 북구,0,14,6,3,9,4.27,4.25
울산광역시 울주군,3,15,17,6,25,4.25,4.06
울산광역시 중구,2,6,4,3,8,4.5,4.22
울진군,7,6,14,1,1,4,4.05
원주시,6,16,20,4,35,4.29,4.15
은평구,3,3,3,2,22,4.31,4.2
음성군,0,2,1,1,7,4.41,4.18
의령군,0,2,4,0,0,4.1,3.99
의성군,1,3,0,1,1,4.16,3.99
의왕시,5,3,0,7,13,4.14,4.01
의정부시,3,7,1,11,29,4.15,3.97
이천시,4,3,2,3,23,4.04,3.9
익산시,2,11,3,2,10,4.28,4.16
인제군,1,2,18,3,4,4.18,3.96
인천광역시 강화군,9,8,80,18,27,4.2,4.08
인천광역시 계양구,2,4,0,5,17,4.13,3.98
인천광역시 남동구,1,9,0,10,36,4.22,4.12
인천광역시 동구,1,1,0,0,0,0,0
인천광역시 미추홀구,1,6,0,2,19,4.36,4.18
인천광역시 부평구,0,8,0,5,38,4.3,4.16
인천광역시 서구,1,12,1,10,34,4.32,4.17
인천광역시 연수구,1,10,2,11,30,4.24,4.11
인천광역시 옹진군,5,4,39,1,4,4.11,4.11
인천광역시 중구,9,7,21,19,25,3.75,3.71
임실군,2,4,2,0,2,4.02,3.9
장성군,0,3,11,0,5,4.27,4.08
장수군,0,1,5,0,0,4.4,4.01
장흥군,4,2,5,1,1,4.2,4.08
전주시,3,16,14,6,27,4.44,4.22
정선군,3,6,22,0,1,4.26,4.13
정읍시,3,7,7,0,5,4.02,3.99
제주시,54,52,228,44,83,4.08,4.11
제천시,6,3,32,3,4,3.96,3.87
종로구,4,14,3,1,10,4.07,4.01
중구,3,10,1,2,9,3.84,3.73
중랑구,3,5,1,4,19,3.94,3.96
증평군,1,1,1,1,3,4.08,4.11
진도군,5,4,4,0,1,4.07,4.07
진안군,3,3,7,0,1,4.1,3.97
진주시,9,14,5,2,7,3.92,4.08
진천군,2,2,2,1,3,4,4.06
창녕군,3,8,4,0,2,4.2,4.2
창원시,12,26,9,16,49,4.15,4.11
천안시,5,18,11,14,55,4,4.13
철원군,3,1,12,0,3,4.04,3.86
청도군,1,3,23,3,8,4.01,3.92
청송군,0,2,3,0,0,3.78,3.33
청양군,3,1,6,0,0,3.75,3.58
청주시,5,10,11,15,47,3.82,4
춘천시,8,6,56,16,31,3.69,4.13
충주시,4,4,24,6,10,3.89,3.95
칠곡군,8,4,7,12,12,4.02,3.98
태백시,3,1,2,0,0,4.26,4.19
태안군,7,6,181,14,7,4.13,4.09
통영시,11,10,57,1,5,4.18,4.13
파주시,4,7,33,23,75,4.22,4.04
평창군,6,5,64,11,3,4,4.03
평택시,4,18,5,9,43,4.06,4.08
포천시,6,5,79,13,17,4.16,4.1
포항시,4,15,46,15,31,4.15,4.02
하남시,4,15,1,14,28,4.12,4.04
하동군,4,8,17,2,2,4.18,4.18
함안군,3,4,3,1,3,4.09,4
함양군,2,5,5,0,0,3.96,3.89
함평군,1,5,1,0,4,3.95,3.95
합천군,4,3,13,0,2,4.23,4.09
해남군,3,4,11,2,0,4.24,4.09
홍성군,3,4,5,3,5,4.24,4.06
홍천군,5,5,69,6,8,4.15,4.08
화성시,13,25,24,9,66,4.02,3.98
화순군,4,4,4,2,8,4.16,3.97
화천군,3,2,11,0,0,4.23,4.11
횡성군,2,0,31,2,4,4.24,4.13
