name,category,cat_code,addr,road_addr,x,y,do,si,gu
유녹,카페,CE7,울산 울주군 상북면 산전리 215-1,울산 울주군 상북면 송락골1길 28,35.597786333928,129.098649790819,울산,울주군,상북면
티아라펜션,숙박,AD5,경남 양산시 원동면 선리 685,경남 양산시 원동면 장선3길 10,35.5052598979391,128.999759230043,경남,양산시,원동면
메르시펜션,숙박,AD5,울산 울주군 상북면 궁근정리 1205,울산 울주군 상북면 삽재로 39,35.61959634072094,129.0640364369694,울산,울주군,상북면
배너미오토캠핑장,숙박,AD5,경북 청도군 운문면 신원리 32,경북 청도군 운문면 운문로 1051,35.6657867303535,129.002687220326,경북,청도군,운문면
리틀티가든,카페,CE7,울산 울주군 상북면 궁근정리 843-5,울산 울주군 상북면 신기길 50-1,35.61777852893934,129.07386214735573,울산,울주군,상북면
메이드스테이,숙박,AD5,울산 울주군 상북면 덕현리 1225-57,울산 울주군 상북면 소야정길 33-3,35.6165481569904,129.056278523568,울산,울주군,상북면
포레스토리,카페,CE7,경북 청도군 화양읍 다로리 418,경북 청도군 화양읍 남성현로 582,35.704514700018,128.718267418943,경북,청도군,화양읍
편안캠핑장,숙박,AD5,경북 경주시 산내면 외칠리 3-5,경북 경주시 산내면 단석로 655-4,35.7580958872876,129.041029428541,경북,경주시,산내면
프로다카페,카페,CE7,경북 경산시 옥곡동 702-1,경북 경산시 백천서로 82,35.8016190084685,128.734264578159,경북,경산시,옥곡동
파르크우록,카페,CE7,대구 달성군 가창면 우록리 84,대구 달성군 가창면 우록길 155-10,35.7243940339126,128.653312852638,대구,달성군,가창면
경주힐링캠프,숙박,AD5,경북 경주시 산내면 감산리 1455,경북 경주시 산내면 장사길 418-55,35.8163884776786,129.041047338102,경북,경주시,산내면
오던,카페,CE7,경북 경산시 압량읍 당음리 237-1,경북 경산시 압량읍 압독로 199,35.8320479400511,128.78547995014048,경북,경산시,압량읍
하말,카페,CE7,경북 경산시 와촌면 대한리 99-1,경북 경산시 와촌면 대한길 13,35.9667721449721,128.78916979891193,경북,경산시,와촌면
돌방구가든,음식점,FD6,대구 동구 용수동 59-6,대구 동구 팔공산로185길 57,35.98978416188847,128.69437775589992,대구,동구,용수동
안정환의바글바글,음식점,FD6,대구 군위군 부계면 남산리 713-2,대구 군위군 부계면 한티로 1796,36.03888398684489,128.6399379626388,대구,군위군,부계면
서울개공원,카페,CE7,경북 영천시 임고면 효리 711,경북 영천시 임고면 운주로 421-25,36.0378195313346,129.012986760542,경북,영천시,임고면
연당림,카페,CE7,경북 영양군 입암면 연당리 363-2,경북 영양군 입암면 서석지2길 4,36.61088894318755,129.07009242493123,경북,영양군,입암면
대궐,카페,CE7,강원특별자치도 삼척시 미로면 활기리 2-13,강원특별자치도 삼척시 미로면 준경길 108,37.3679142773612,129.085260146415,강원특별자치도,삼척시,미로면
녹색정원펜션,숙박,AD5,강원특별자치도 삼척시 신기면 고무릉리 189,강원특별자치도 삼척시 신기면 고무릉길 75-34,37.3450878232719,129.050759238731,강원특별자치도,삼척시,신기면
샘터펜션,숙박,AD5,강원특별자치도 삼척시 미로면 고천리 566,강원특별자치도 삼척시 미로면 고천1길 256,37.426167124957416,129.05464591948058,강원특별자치도,삼척시,미로면
동해황토민박펜션,숙박,AD5,강원특별자치도 동해시 지흥동 321-6,강원특별자치도 동해시 분토길 188-7,37.5087205916496,129.09572221484,강원특별자치도,동해시,지흥동
망상파크펜션,숙박,AD5,강원특별자치도 동해시 망상동 384-1,강원특별자치도 동해시 망상길 45-1,37.591048385148966,129.08836505178428,강원특별자치도,동해시,망상동
글로리아펜션,숙박,AD5,강원특별자치도 동해시 망상동 362-4,강원특별자치도 동해시 망상길 49,37.5912949896173,129.088530437032,강원특별자치도,동해시,망상동
황토흙펜션꿈의대화,숙박,AD5,강원특별자치도 동해시 만우동 295-1,강원특별자치도 동해시 느릅재길 326-12,37.5594332694418,129.07791088457984,강원특별자치도,동해시,만우동
카페J,카페,CE7,강원특별자치도 동해시 천곡동 522,강원특별자치도 동해시 항골길 94,37.525793593798596,129.0975391501326,강원특별자치도,동해시,천곡동
